,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Accumulated time steps,0.0,513.0,1174.0,1597.0,2097.0,2337.0,2672.0,3322.0,3812.0,4442.0,4971.0,5970.0,6969.0,7460.0,8267.0,9179.0,10178.0,10749.0,11716.0,12715.0,13714.0,14713.0,15506.0,16505.0,17504.0,18297.0,19173.0,20172.0
Episode reward,0.0,75.44633084508604,66.14385431291781,80.22481472328158,75.33844512470144,89.24927404012239,84.52544184789814,71.13093858200696,79.75796689237075,70.53662263613084,75.64197219413369,-43.03249835291602,-39.89392682989522,80.57593217194162,67.84561946267198,58.74426755957531,-38.387964641111886,75.7376309827612,62.618626530553136,-39.56059050339119,-40.41837783550705,-37.20247577139766,70.07970017515873,-37.971798156163715,-39.23559887364905,68.71305838269524,62.98087639171681,-35.42253083079324
Episode feedback,0.8,0.4363992163671248,0.3030303025711662,0.29620853010377124,0.21643286529772973,0.2468619236532974,0.1586826342554412,0.14946070855244883,0.12883435556475592,0.079491255835467,0.07765151500444789,0.050100200350601004,0.037074148259444745,0.024489795868388172,0.03598014883873431,0.012074643235922455,0.0150300601051803,0.007017543847337642,0.005175983431494841,0.00400801602804808,0.00400801602804808,0.0030060120210360602,0.0012626262610320375,0.0,0.00100200400701202,0.0,0.0011428571415510204,0.0
total seconds,0.0,37.4045205116272,84.5243456363678,115.48701977729797,148.02353644371033,164.0502359867096,185.25936913490295,223.00412487983704,251.10430192947388,284.7758078575134,313.34351539611816,364.4164764881134,415.0861773490906,440.22035241127014,482.57259726524353,531.7350940704346,584.637610912323,614.2892818450928,664.725930929184,716.3266847133636,766.1184272766113,815.1672089099884,854.0643427371979,903.619312286377,952.2982835769653,991.2002189159393,1034.1503539085388,1082.7683942317963
total minutes,0.0,0.6234086751937866,1.4087390939394633,1.9247836629549662,2.4670589407285055,2.7341705997784933,3.0876561522483827,3.7167354146639506,4.185071698824564,4.74626346429189,5.222391923268636,6.073607941468556,6.918102955818176,7.337005873521169,8.042876621087393,8.862251567840577,9.74396018187205,10.238154697418214,11.078765515486399,11.93877807855606,12.768640454610189,13.586120148499807,14.234405712286632,15.060321871439616,15.871638059616089,16.52000364859899,17.23583923180898,18.04613990386327
cummulative feedback,0.0,223.0,423.0,548.0,656.0,715.0,768.0,865.0,928.0,978.0,1019.0,1069.0,1106.0,1118.0,1147.0,1158.0,1173.0,1177.0,1182.0,1186.0,1190.0,1193.0,1194.0,1194.0,1195.0,1195.0,1196.0,1196.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,511.0,660.0,422.0,499.0,239.0,334.0,649.0,489.0,629.0,528.0,998.0,998.0,490.0,806.0,911.0,998.0,570.0,966.0,998.0,998.0,998.0,792.0,998.0,998.0,792.0,875.0,998.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
