,0,1,2,3,4
Accumulated time steps,0.0,51.0,101.0,151.0,201.0
Episode reward,0.0,-2.743124497195547,-3.6632226828474654,-4.485477105286213,-4.170935185700606
Episode feedback,0.8,0.14285713994169102,0.2653061170345691,0.24489795418575605,0.3469387684298211
total seconds,0.0,2.362267017364502,5.880231142044067,10.004926443099976,14.504704475402832
total minutes,0.0,0.03937111695607503,0.09800385236740113,0.16674877405166627,0.2417450745900472
cummulative feedback,0.0,7.0,20.0,32.0,49.0
Ph,0.8,0.9,0.9,0.9,0.9
steps_that_episode,0.0,49.0,49.0,49.0,49.0
e,0.001,0.001,0.001,0.001,0.001
buffer size,1010.0,1010.0,1010.0,1010.0,1010.0
human model,1.0,1.0,1.0,1.0,1.0
