,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Accumulated time steps,0.0,1000.0,1836.0,2209.0,3017.0,3545.0,4221.0,5220.0,6219.0,7218.0,8217.0,9216.0,9712.0,10711.0,11704.0,12703.0,13702.0,14701.0,15700.0,16699.0,17698.0,18697.0,19696.0,20695.0
Episode reward,0.0,-63.82015985166584,48.94262100115057,78.00229092283357,58.89880663202249,73.49443822635403,67.85756400654591,-42.72168808412213,-44.07193761635518,-46.34051529320629,-43.74698909352297,-46.15949890043297,77.72426522820987,-42.00104337668158,56.07573668556765,-41.719640230670414,-43.92071061228024,-46.73371401674062,-41.68348842887621,-43.32623107698538,-43.40479526242232,-44.85086720845088,-43.806166511159056,-46.086841018897054
Episode feedback,0.8,0.0060120240420721205,0.2946107780902865,0.12365591364608626,0.1722428746316693,0.18216318751012678,0.125925925739369,0.06412825644876928,0.050100200350601004,0.03907815627346878,0.01903807613322838,0.02304609216127646,0.012121212096724824,0.0050100200350601,0.0020161290302256763,0.0030060120210360602,0.00200400801402404,0.0,0.00200400801402404,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,44.547369718551636,100.71112895011902,122.14531064033508,169.50880599021912,202.22414135932922,241.84625363349915,293.2136752605438,343.794118642807,393.58624625205994,442.43928050994873,491.55851769447327,515.972852230072,564.2827434539795,611.6974091529846,659.947194814682,707.8394889831543,755.7303082942963,803.6062180995941,851.283171415329,899.3200101852417,947.0392942428589,994.0452756881714,1041.1532962322235
total minutes,0.0,0.7424561619758606,1.678518815835317,2.035755177338918,2.825146766503652,3.3704023559888205,4.030770893891653,4.88689458767573,5.729901977380117,6.559770770867666,7.373988008499145,8.192641961574555,8.599547537167867,9.404712390899657,10.19495681921641,10.999119913578033,11.797324816385904,12.595505138238272,13.393436968326569,14.18805285692215,14.988666836420695,15.783988237380981,16.567421261469523,17.352554937203724
cummulative feedback,0.0,6.0,252.0,298.0,437.0,533.0,618.0,682.0,732.0,771.0,790.0,813.0,819.0,824.0,826.0,829.0,831.0,831.0,833.0,833.0,833.0,833.0,833.0,833.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,835.0,372.0,807.0,527.0,675.0,998.0,998.0,998.0,998.0,998.0,495.0,998.0,992.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
