,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Accumulated time steps,0.0,914.0,1913.0,2545.0,3193.0,3904.0,4903.0,5902.0,6645.0,7562.0,8561.0,9222.0,9780.0,10219.0,11218.0,11707.0,12241.0,12891.0,13636.0,14032.0,14532.0,15094.0,15562.0,16212.0,17211.0,17611.0,17986.0
Episode reward,0.0,41.428037316101346,-45.02559533034639,70.51338800234372,92.1346049905965,63.940016421476855,-54.358945038312896,-8.70087639602243,46.88980305419396,43.72232699730078,-49.23121781064281,53.633037041227674,61.71003798923811,75.42563534984497,-46.92450067530453,75.62566841360395,71.02217547606757,61.54722506969555,55.95915201977704,75.52420661049933,70.02372843741747,67.07498465456999,72.3532439361282,61.63236312423523,-59.45975708077224,75.12499610742589,77.81092991219003
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,37.998390436172485,80.29080510139465,107.38189458847046,134.96344780921936,165.30958247184753,207.97568607330322,250.5167679786682,282.29036951065063,320.9209337234497,363.08887481689453,391.942720413208,416.3088929653168,435.2756812572479,477.39610147476196,498.1148359775543,520.7095544338226,547.851505279541,579.0648832321167,596.4468970298767,617.9468717575073,641.9611494541168,662.8356366157532,691.1720418930054,733.9815607070923,751.5533442497253,767.7882635593414
total minutes,0.0,0.6333065072695414,1.3381800850232441,1.7896982431411743,2.2493907968203226,2.7551597078641255,3.4662614345550535,4.175279466311137,4.704839491844178,5.3486822287241615,6.051481246948242,6.532378673553467,6.9384815494219465,7.2545946876207985,7.956601691246033,8.30191393295924,8.678492573897044,9.130858421325684,9.651081387201945,9.940781617164612,10.299114529291789,10.699352490901948,11.047260610262553,11.519534031550089,12.23302601178487,12.525889070828756,12.796471059322357
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,912.0,998.0,631.0,647.0,710.0,998.0,998.0,742.0,916.0,998.0,660.0,557.0,438.0,998.0,488.0,533.0,649.0,744.0,395.0,499.0,561.0,467.0,649.0,998.0,399.0,374.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
