,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Accumulated time steps,0.0,397.0,655.0,1301.0,1547.0,1897.0,2153.0,2298.0,2645.0,3166.0,3901.0,4900.0,5541.0,5772.0,6104.0,6596.0,7102.0,8082.0,9067.0,9474.0,9943.0,10665.0,11538.0,11909.0,12545.0,13544.0,14126.0,15038.0,15895.0,16797.0,17796.0,18795.0,19533.0,20374.0
Episode reward,0.0,79.87962012891937,88.69207223991684,71.29041813748873,89.88613771803203,82.56395605680916,87.78712764246877,93.83799866435295,86.63497757938806,77.65305676145636,70.96193268770236,-33.240405605919726,74.97056742526422,92.78831338198017,88.96942542214211,83.88143346906425,82.78037598590419,67.69231436316912,62.918269151375824,83.46706382625847,84.58002588520371,79.552335263008,71.6870362976155,85.21473171399198,76.59854591770099,-34.18263706728722,80.60355323829388,70.75928235343284,76.88218322129703,73.46080193913338,-28.255062849636253,-31.02161561728513,78.91566085598382,77.60373448494138
Episode feedback,0.8,0.3974683534241307,0.42412451196838713,0.29302325535965384,0.30612244773011243,0.18624641780445153,0.16862745031910803,0.1736111099054784,0.2254335253600187,0.14999999971153846,0.11307901891951087,0.07815631254693756,0.05937499990722656,0.056521738884688096,0.06344410856965527,0.04073319747304848,0.01980198015880796,0.023493360548014954,0.020325203231376827,0.017241379267878377,0.012820512793118563,0.004160887650262292,0.008027522926573941,0.002702702695398101,0.004724409441378883,0.00100200400701202,0.003442340785813527,0.0021953896792586284,0.0011682242977006725,0.0,0.00100200400701202,0.0,0.0,0.0011904761890589568
total seconds,0.0,33.189558267593384,58.77139973640442,114.55621862411499,136.32374548912048,162.07076382637024,181.07255220413208,190.98807311058044,215.481627702713,247.97717332839966,290.9856526851654,345.2974991798401,379.6428220272064,392.4851965904236,410.65582752227783,436.45175290107727,462.5430679321289,511.91449880599976,561.5849540233612,582.4902167320251,606.469345331192,642.4053564071655,685.3539533615112,704.0477666854858,735.7182719707489,785.1619486808777,813.7914199829102,859.121595621109,901.8246722221375,946.1750955581665,995.491890668869,1044.1948618888855,1080.6785640716553,1122.0541484355927
total minutes,0.0,0.5531593044598897,0.9795233289400737,1.9092703104019164,2.272062424818675,2.701179397106171,3.017875870068868,3.183134551843007,3.5913604617118837,4.132952888806661,4.84976087808609,5.754958319664001,6.327380367120107,6.541419943173726,6.844263792037964,7.274195881684621,7.709051132202148,8.531908313433329,9.359749233722686,9.708170278867085,10.107822422186533,10.706755940119425,11.42256588935852,11.734129444758098,12.261971199512482,13.086032478014628,13.563190333048503,14.318693260351816,15.030411203702291,15.769584925969442,16.591531511147817,17.403247698148093,18.011309401194254,18.700902473926543
cummulative feedback,0.0,157.0,266.0,455.0,530.0,595.0,638.0,663.0,741.0,819.0,902.0,980.0,1018.0,1031.0,1052.0,1072.0,1082.0,1105.0,1125.0,1132.0,1138.0,1141.0,1148.0,1149.0,1152.0,1153.0,1155.0,1157.0,1158.0,1158.0,1159.0,1159.0,1159.0,1160.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,395.0,257.0,645.0,245.0,349.0,255.0,144.0,346.0,520.0,734.0,998.0,640.0,230.0,331.0,491.0,505.0,979.0,984.0,406.0,468.0,721.0,872.0,370.0,635.0,998.0,581.0,911.0,856.0,901.0,998.0,998.0,737.0,840.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
