,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Accumulated time steps,0.0,495.0,762.0,1761.0,2680.0,2932.0,3631.0,4630.0,5629.0,6628.0,7230.0,8229.0,8751.0,9750.0,10035.0,11034.0,11741.0,12438.0,13437.0,14436.0,14538.0,15433.0,16432.0,17431.0,18430.0,19429.0,20428.0
Episode reward,0.0,71.02057884773336,83.32909092970671,-79.82374332523625,41.446220834578966,84.84089352309753,45.17902366733423,-71.82816885030509,-69.30210951532304,-84.42400102813347,45.08045005502659,-96.73164819338835,56.24736364672082,-80.74920010634455,76.72772269352164,-94.59804618226549,42.267169957846406,35.733406972439795,-93.65755683088963,-87.44262748136154,92.98766484011794,30.765231037308183,-93.43236828106392,-99.24643105356674,-90.29647023756512,-92.6660691975824,-89.02058154091733
Episode feedback,0.8,0.29614604402404454,0.25187969830120416,0.22344689356368047,0.15577342030961502,0.15139442170759196,0.10458452707079581,0.08617234460303372,0.050100200350601004,0.033066132231396664,0.03494176366898209,0.012024048084144241,0.023032629514332766,0.0100200400701202,0.007042253496330093,0.00200400801402404,0.0056657223715782965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,33.24228286743164,52.161405086517334,118.40164732933044,174.624356508255,190.7499222755432,231.58897805213928,287.75222873687744,341.13002014160156,393.6327040195465,425.70824551582336,476.65227031707764,504.1207048892975,554.9185347557068,570.1236197948456,620.6446068286896,656.6596219539642,691.8848040103912,742.0641903877258,792.5367057323456,798.5127439498901,843.5927202701569,893.9318201541901,943.8864200115204,993.7119176387787,1043.161200761795,1092.4700644016266
total minutes,0.0,0.5540380477905273,0.8693567514419556,1.973360788822174,2.91040594180425,3.1791653712590535,3.859816300868988,4.795870478947958,5.6855003356933596,6.560545066992442,7.095137425263723,7.9442045052846275,8.402011748154958,9.248642245928446,9.502060329914093,10.34407678047816,10.94432703256607,11.531413400173188,12.367736506462098,13.208945095539093,13.30854573249817,14.059878671169281,14.898863669236501,15.73144033352534,16.561865293979643,17.386020012696584,18.207834406693777
cummulative feedback,0.0,146.0,213.0,436.0,579.0,617.0,690.0,776.0,826.0,859.0,880.0,892.0,904.0,914.0,916.0,918.0,922.0,922.0,922.0,922.0,922.0,922.0,922.0,922.0,922.0,922.0,922.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,493.0,266.0,998.0,918.0,251.0,698.0,998.0,998.0,998.0,601.0,998.0,521.0,998.0,284.0,998.0,706.0,696.0,998.0,998.0,101.0,894.0,998.0,998.0,998.0,998.0,998.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
