,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Accumulated time steps,0.0,603.0,771.0,1149.0,2148.0,2508.0,3202.0,3951.0,4950.0,5779.0,6778.0,7777.0,8305.0,8916.0,9656.0,9928.0,10304.0,10590.0,11043.0,11498.0,12140.0,12399.0,12746.0,13017.0,13541.0,13993.0,14248.0,14498.0,14750.0,15233.0,15755.0,16106.0,16716.0,17340.0,17773.0,18041.0,18412.0,19096.0,19383.0,19657.0,19970.0
Episode reward,0.0,74.13242973044109,91.0807395130033,83.99187430194934,-67.9795398521103,82.37747697417433,65.79535305584078,60.7724572693096,-63.65331224983809,64.25167331009422,-63.586300948202414,-62.80191425851217,67.69622463197453,63.694331700410984,59.491780897643736,86.31641188731436,77.76709517815044,85.12220287156357,75.09684146973565,71.5243591739748,59.9860090359709,84.60727012996061,79.2795540001488,82.64706804035372,67.89364768583374,72.51042510563013,84.5435507688982,85.05941632175146,85.3071078003534,70.21372189298123,69.01894649858761,78.65507773393404,63.28954878466331,62.70263493063815,74.27259175963803,85.92194275605543,83.87551898639117,70.36986851872096,84.44428260505128,87.54868794290668,81.37615264277912
Episode feedback,0.8,0.46089850172895425,0.1077844304923088,0.3209549063104644,0.0050100200350601,0.14206128094133347,0.11544011527353519,0.10026737954509708,0.00901803606310818,0.04951690815275736,0.00901803606310818,0.012024048084144241,0.011385199219382924,0.009836065557645794,0.009472259797737132,0.0036900368867526317,0.0026666666595555554,0.007017543835026162,0.0022123893756363067,0.004405286333909061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00803212848179868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037453183380325157,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,40.24161911010742,49.1815664768219,72.85340142250061,120.36864066123962,139.76457524299622,177.1068856716156,215.78754878044128,262.47576689720154,303.76616525650024,352.55333852767944,402.27339792251587,428.8860092163086,459.62560057640076,496.71355175971985,511.1171898841858,530.3465156555176,545.377462387085,568.5721037387848,591.9091846942902,624.5567078590393,638.03076171875,656.0847470760345,670.4163796901703,697.0348889827728,720.1961238384247,733.4546043872833,746.6278712749481,759.7962548732758,783.8161664009094,809.8336932659149,827.5312790870667,857.8389403820038,889.6055672168732,911.9976365566254,926.2887637615204,945.4996807575226,979.3522465229034,993.8765451908112,1007.9093976020813,1024.0005342960358
total minutes,0.0,0.6706936518351237,0.8196927746136983,1.214223357041677,2.0061440110206603,2.32940958738327,2.95178142786026,3.596459146340688,4.374596114953359,5.062769420941671,5.875888975461324,6.704556632041931,7.148100153605143,7.660426676273346,8.278559195995332,8.518619831403097,8.839108594258626,9.089624373118083,9.476201728979747,9.86515307823817,10.409278464317321,10.633846028645833,10.934745784600576,11.173606328169505,11.61724814971288,12.00326873064041,12.224243406454722,12.443797854582469,12.663270914554596,13.06360277334849,13.497228221098583,13.792187984784444,14.297315673033397,14.826759453614553,15.19996060927709,15.438146062692006,15.758328012625377,16.32253744204839,16.56460908651352,16.79848996003469,17.066675571600594
cummulative feedback,0.0,277.0,295.0,416.0,421.0,472.0,552.0,627.0,636.0,677.0,686.0,698.0,704.0,710.0,717.0,718.0,719.0,721.0,722.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,724.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,726.0,727.0,727.0,727.0,727.0,727.0,727.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,601.0,167.0,377.0,998.0,359.0,693.0,748.0,998.0,828.0,998.0,998.0,527.0,610.0,739.0,271.0,375.0,285.0,452.0,454.0,641.0,258.0,346.0,270.0,523.0,451.0,254.0,249.0,251.0,482.0,521.0,350.0,609.0,623.0,432.0,267.0,370.0,683.0,286.0,273.0,312.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
