,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Accumulated time steps,0.0,365.0,1105.0,1842.0,2641.0,3326.0,4325.0,4864.0,5863.0,6862.0,7861.0,8860.0,9859.0,10490.0,11489.0,12337.0,13336.0,14335.0,15334.0,16333.0,17332.0,18331.0,19330.0,20329.0
Episode reward,0.0,84.19098620316774,71.70332488616883,73.15962448068288,71.77551952587159,79.8168297566064,-32.63389669499668,82.5193909794082,-30.99819492567208,-28.66685728724447,-27.67292048421602,-28.794579774887026,-27.032654628060698,82.02288901880624,-28.175494707230932,77.00170375033008,-26.489532735877138,-26.857406801981224,-26.064078898983166,-25.09016439121802,-27.111573737834465,-27.41104360643562,-25.677253903610094,-27.22921552788178
Episode feedback,0.8,0.49586776722901443,0.43978349060922395,0.2961956517714733,0.2418546362884027,0.18421052604647584,0.11322645279235827,0.10223048308135597,0.07414829651888949,0.04609218432255292,0.024048096168288482,0.01703406811920434,0.0150300601051803,0.009523809508692365,0.0,0.005903187714400015,0.00100200400701202,0.0030060120210360602,0.00200400801402404,0.0,0.0,0.00100200400701202,0.0,0.0
total seconds,0.0,26.412434816360474,80.85563445091248,130.7224736213684,180.8457407951355,221.5657479763031,277.1219251155853,307.62341499328613,360.50951981544495,412.2748827934265,462.86543345451355,513.8246471881866,564.9890766143799,597.0763912200928,646.2812304496765,688.7578756809235,737.9443516731262,787.2335498332977,836.0725266933441,885.0035228729248,933.7683317661285,982.6128675937653,1031.9909694194794,1081.0201466083527
total minutes,0.0,0.4402072469393412,1.347593907515208,2.1787078936894733,3.014095679918925,3.6927624662717182,4.618698751926422,5.127056916554769,6.008491996924082,6.871248046557109,7.714423890908559,8.563744119803111,9.416484610239666,9.951273187001545,10.771353840827942,11.479297928015392,12.299072527885437,13.120559163888295,13.934542111555736,14.750058714548747,15.562805529435476,16.376881126562754,17.199849490324656,18.017002443472546
cummulative feedback,0.0,180.0,505.0,723.0,916.0,1042.0,1155.0,1210.0,1284.0,1330.0,1354.0,1371.0,1386.0,1392.0,1392.0,1397.0,1398.0,1401.0,1403.0,1403.0,1403.0,1404.0,1404.0,1404.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,363.0,739.0,736.0,798.0,684.0,998.0,538.0,998.0,998.0,998.0,998.0,998.0,630.0,998.0,847.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
