,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Accumulated time steps,0.0,1000.0,1505.0,1938.0,2546.0,2869.0,3280.0,3796.0,4795.0,5541.0,6540.0,6904.0,7277.0,7549.0,7923.0,8177.0,8516.0,8887.0,9234.0,9494.0,9878.0,10286.0,10638.0,11104.0,11558.0,11914.0,12276.0,12540.0,12887.0,13244.0,13508.0,13770.0,14129.0,14407.0,14702.0,14876.0,15048.0,15403.0,15758.0,16039.0,16366.0,16813.0,17074.0,17428.0,17807.0,18104.0,18462.0,18729.0
Episode reward,0.0,-4.264914416648989,76.51982709422093,67.7892393225969,69.84158345318443,91.73173170239839,81.71431765561098,78.90277031419205,-63.276566169750595,58.96251310872387,-66.66722468992974,81.6059554177314,81.428814883472,82.59800435838224,81.68719460898353,85.42811002342577,81.10963632619033,83.15257243832058,81.99680653300834,86.2609994693467,78.54248743416812,80.86009763124052,81.85812437916039,74.76303548481029,75.99291123894443,81.42126810112639,80.75390780165293,83.16285462086086,76.69489122141908,77.05092593565294,85.84128202361748,86.09490355189308,81.12282355787683,84.63735243356113,82.32798000052074,90.04320169121344,90.23595333206092,81.61344900963,81.59676256055695,84.33731581290881,78.92420954634204,76.94212859804308,86.35836547617635,81.72869221908482,78.89368527775531,81.99308042430056,81.24645542264874,85.44868088824565
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,42.66551852226257,65.16171932220459,84.64515137672424,111.46593379974365,126.31831645965576,144.61094212532043,167.52743101119995,211.0634548664093,243.64820528030396,287.0060329437256,303.60494661331177,320.51854252815247,333.151251077652,350.42800283432007,362.5698719024658,378.65388560295105,395.4741761684418,411.2088522911072,423.06885957717896,440.8837399482727,459.3796806335449,475.60528922080994,496.6471309661865,517.0744681358337,533.2642502784729,549.7794511318207,561.887567281723,577.2834460735321,593.6231439113617,606.0370011329651,618.3971304893494,634.5459079742432,647.3468236923218,661.0144579410553,669.5562357902527,677.8395993709564,694.1605081558228,710.3527410030365,723.2879114151001,738.6779992580414,758.6500334739685,770.7823479175568,786.9566969871521,804.0965592861176,817.7065596580505,834.0506544113159,846.7812509536743
total minutes,0.0,0.7110919753710429,1.0860286553700764,1.410752522945404,1.8577655633290608,2.105305274327596,2.4101823687553408,2.7921238501866656,3.5177242477734882,4.0608034213384,4.7834338823954266,5.0600824435551965,5.341975708802541,5.5525208512942,5.840466713905334,6.04283119837443,6.310898093382518,6.591236269474029,6.853480871518453,7.051147659619649,7.348062332471212,7.656328010559082,7.926754820346832,8.277452182769775,8.617907802263895,8.887737504641215,9.16299085219701,9.364792788028717,9.621390767892201,9.893719065189362,10.100616685549419,10.306618841489156,10.575765132904053,10.789113728205363,11.016907632350922,11.15927059650421,11.297326656182607,11.569341802597046,11.839212350050609,12.054798523585001,12.311299987634023,12.644167224566141,12.846372465292612,13.115944949785868,13.401609321435293,13.62844266096751,13.900844240188599,14.113020849227905
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,504.0,432.0,607.0,322.0,410.0,515.0,998.0,745.0,998.0,363.0,372.0,271.0,373.0,253.0,338.0,370.0,346.0,259.0,383.0,407.0,351.0,465.0,453.0,355.0,361.0,263.0,346.0,356.0,263.0,261.0,358.0,277.0,294.0,173.0,171.0,354.0,354.0,280.0,326.0,446.0,260.0,353.0,378.0,296.0,357.0,266.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
