,0,1,2,3,4,5,6,7
Accumulated time steps,0.0,51.0,101.0,151.0,201.0,251.0,301.0,351.0
Episode reward,0.0,-2.847523726990649,-3.510897974940743,-3.6744431267129034,-4.082203425885338,-3.9761462572406283,-3.7033537924884072,-4.059094969443337
Episode feedback,0.8,0.16326530279050402,0.14285713994169102,0.20408162848813005,0.22448979133694305,0.3061224427321951,0.32653060558100805,0.24489795418575605
total seconds,0.0,2.42447829246521,5.643311500549316,9.594826459884644,13.689171552658081,18.076167821884155,22.518299341201782,26.71268939971924
total minutes,0.0,0.040407971541086836,0.09405519167582194,0.1599137743314107,0.228152859210968,0.30126946369806923,0.3753049890200297,0.4452114899953206
cummulative feedback,0.0,8.0,15.0,25.0,36.0,51.0,67.0,79.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
