,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5844.0,6843.0,7488.0,8487.0,9447.0,10408.0,10889.0,11400.0,12355.0,13271.0,14270.0,14784.0,15744.0,16554.0,17045.0,17672.0,18171.0,19052.0,19950.0
Episode reward,0.0,-52.72513412986526,-2.468226027360301,-61.572095968602625,-8.95988856053064,-60.44237414993231,64.76394087068087,-67.25691763139126,70.87736768560045,-65.95850716045598,48.70661789323109,49.90315147447536,73.78532549852571,75.6098419367114,48.59630284344178,59.88478589421581,-39.13421059247116,75.51378489285769,48.52392774397108,55.37784564957606,73.45330778897447,71.26527914575831,73.42393610904574,53.05105982717122,51.21139028974427
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,45.272120237350464,91.63777351379395,138.55563974380493,184.60398268699646,231.2843153476715,271.0593547821045,317.5548448562622,347.8169479370117,394.2858974933624,439.1739253997803,484.11586809158325,506.9219808578491,531.1735601425171,575.7612433433533,618.516551733017,664.9653387069702,689.248049736023,733.4562215805054,771.1695528030396,794.6281723976135,824.1378815174103,847.6712946891785,888.5906643867493,930.6329629421234
total minutes,0.0,0.7545353372891744,1.5272962252298992,2.3092606623967487,3.0767330447832744,3.8547385891278583,4.517655913035075,5.2925807476043705,5.796949132283529,6.571431624889374,7.319565423329672,8.068597801526387,8.448699680964152,8.852892669041951,9.596020722389222,10.308609195550282,11.08275564511617,11.487467495600383,12.22427035967509,12.85282588005066,13.243802873293559,13.735631358623504,14.127854911486308,14.809844406445821,15.510549382368724
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,847.0,998.0,644.0,998.0,959.0,960.0,480.0,510.0,954.0,915.0,998.0,513.0,959.0,809.0,490.0,626.0,498.0,880.0,897.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
