,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Accumulated time steps,0.0,562.0,842.0,1399.0,2096.0,2881.0,3413.0,4047.0,5046.0,6045.0,6859.0,7858.0,8857.0,9856.0,10855.0,11854.0,12853.0,13852.0,14851.0,15850.0,16849.0,17848.0,18847.0,19846.0,20845.0
Episode reward,0.0,73.51417252538735,87.12370403402065,77.10628799718452,74.43122491737243,72.07972195523134,81.54604551594022,77.26322313844065,-27.402483052502163,-28.00538021222449,75.40254749212374,-27.801475751498618,-27.205755583496302,-26.772941007954287,-26.20101883179734,-27.69470917261425,-28.461419734670585,-27.66818147023391,-27.267074851944436,-29.69385057871377,-24.810070059761372,-28.3180999324468,-25.90131975773931,-26.290501698151715,-26.96247266476875
Episode feedback,0.8,0.43749999921875,0.4050179196952763,0.3363309346468868,0.28591953981908114,0.22831632623939244,0.14124293758711312,0.1484992098759886,0.09819639268717796,0.052104208364625045,0.044280442749962554,0.025050100175300502,0.012024048084144241,0.01102204407713222,0.00801603205609616,0.0060120240420721205,0.00200400801402404,0.00100200400701202,0.00100200400701202,0.0,0.0,0.00100200400701202,0.0,0.0,0.0
total seconds,0.0,45.53837871551514,68.26963472366333,109.51547932624817,158.2995147705078,207.54569625854492,238.70048666000366,275.1466853618622,329.33655834198,380.91030740737915,422.4555854797363,472.64895153045654,521.9106786251068,571.0681862831116,620.2493176460266,668.9941842556,717.8209924697876,766.7209286689758,815.5317158699036,864.3844797611237,913.5655295848846,962.5897240638733,1013.6006057262421,1065.42294049263,1120.1100625991821
total minutes,0.0,0.7589729785919189,1.1378272453943887,1.825257988770803,2.63832524617513,3.459094937642415,3.9783414443333944,4.58577808936437,5.488942639033,6.348505123456319,7.040926424662272,7.877482525507609,8.698511310418446,9.517803104718526,10.337488627433777,11.149903070926666,11.963683207829794,12.77868214448293,13.592195264498393,14.406407996018727,15.226092159748077,16.04316206773122,16.893343428770702,17.7570490082105,18.6685010433197
cummulative feedback,0.0,245.0,358.0,545.0,744.0,923.0,998.0,1092.0,1190.0,1242.0,1278.0,1303.0,1315.0,1326.0,1334.0,1340.0,1342.0,1343.0,1344.0,1344.0,1344.0,1345.0,1345.0,1345.0,1345.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,560.0,279.0,556.0,696.0,784.0,531.0,633.0,998.0,998.0,813.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
