,0,1,2,3,4
Accumulated time steps,0.0,51.0,101.0,151.0,201.0
Episode reward,0.0,-2.8136202531760137,-3.4196174706141456,-3.5220753686509028,-4.292712665383712
Episode feedback,0.8,0.16326530279050402,0.08163265139525201,0.2653061170345691,0.20408162848813005
total seconds,0.0,2.310163974761963,5.4702582359313965,9.295726537704468,13.349520444869995
total minutes,0.0,0.03850273291269938,0.09117097059885661,0.1549287756284078,0.22249200741449993
cummulative feedback,0.0,8.0,12.0,25.0,35.0
Ph,0.8,0.9,0.9,0.9,0.9
steps_that_episode,0.0,49.0,49.0,49.0,49.0
e,0.001,0.001,0.001,0.001,0.001
buffer size,1010.0,1010.0,1010.0,1010.0,1010.0
human model,1.0,1.0,1.0,1.0,1.0
