,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Accumulated time steps,0.0,421.0,936.0,1572.0,2234.0,3220.0,3810.0,4154.0,4605.0,4884.0,5131.0,5553.0,5895.0,6237.0,6498.0,7007.0,7282.0,7620.0,7869.0,8221.0,8595.0,8879.0,9150.0,9491.0,9744.0,10279.0,10536.0,10699.0,10979.0,11230.0,11401.0,11677.0,11840.0,12188.0,12439.0,12786.0,13242.0,13506.0,13760.0,14043.0,14294.0,14457.0,14889.0,15055.0,15353.0,15787.0,16317.0,16839.0,17157.0,17408.0,17660.0,18022.0,18294.0,18547.0
Episode reward,0.0,84.61487297308932,63.30104003749285,88.51432094250265,67.17398738860763,47.77221738533142,60.523683958554166,78.60771397813342,74.20910436125686,86.22259045435221,86.47846283214967,77.97612180676114,82.04091492234917,83.07379832798561,87.31292060788397,69.47462356030914,86.52758442064177,79.50759916423566,84.5936996384209,77.22636815411467,82.41205805905206,84.36381092104386,86.50474005509706,79.4344111437708,85.004241757431,66.72139071855423,84.62966361333568,89.76139943580044,82.30050573288291,84.93792194720844,90.7824795547105,82.59347716669137,89.7559317009826,78.16027674813417,85.01693029565229,78.97905958919883,71.34552657893174,83.21020289082136,84.83166691202852,81.88418348853025,85.0062745775084,89.75620573861438,73.45646380141838,89.40627158827525,80.38098430916372,72.80374825998767,66.91157652570311,67.53457574431525,78.39507607653678,85.03223777159957,84.97635924031727,77.53975770111131,83.00272641018645,84.92226764175811
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,18.595442056655884,41.75126338005066,71.0281445980072,101.31032991409302,145.38195657730103,171.76912641525269,187.71985244750977,207.72690844535828,220.6392068862915,232.0714738368988,251.17356181144714,266.8277566432953,282.213326215744,294.48409128189087,316.9986832141876,329.52276611328125,345.0557155609131,356.89787006378174,372.64618158340454,390.27426981925964,404.05140137672424,417.2856228351593,433.57514905929565,445.4404513835907,469.4787383079529,480.909010887146,488.5031371116638,501.84332609176636,514.0166070461273,522.5282845497131,535.4072103500366,543.9032778739929,560.164689540863,572.1737694740295,588.5114452838898,609.6379470825195,621.8757431507111,633.8086721897125,646.7131383419037,658.6327219009399,666.4737546443939,685.3539922237396,693.2378263473511,706.6082491874695,725.5255513191223,748.7697904109955,771.5675163269043,785.8902599811554,797.1906230449677,808.7504923343658,824.8472003936768,837.1717998981476,848.8245475292206
total minutes,0.0,0.30992403427759807,0.695854389667511,1.1838024099667868,1.6885054985682169,2.423032609621684,2.8628187735875446,3.1286642074584963,3.462115140755971,3.677320114771525,3.8678578972816466,4.186226030190785,4.447129277388255,4.703555436929067,4.908068188031515,5.283311386903127,5.492046101888021,5.750928592681885,5.948297834396362,6.210769693056743,6.504571163654328,6.734190022945404,6.954760380585989,7.226252484321594,7.424007523059845,7.824645638465881,8.015150181452434,8.141718951861064,8.364055434862772,8.566943450768788,8.70880474249522,8.923453505833944,9.065054631233215,9.336078159014384,9.536229491233826,9.80852408806483,10.160632451375326,10.364595719178517,10.563477869828542,10.778552305698394,10.977212031682333,11.107895910739899,11.422566537062327,11.553963772455852,11.776804153124491,12.092092521985371,12.479496506849925,12.859458605448404,13.098170999685923,13.286510384082794,13.479174872239431,13.747453339894612,13.952863331635793,14.147075792153677
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,419.0,514.0,635.0,661.0,985.0,589.0,343.0,450.0,278.0,246.0,421.0,341.0,341.0,260.0,508.0,274.0,337.0,248.0,351.0,373.0,283.0,270.0,340.0,252.0,534.0,256.0,162.0,279.0,250.0,170.0,275.0,162.0,347.0,250.0,346.0,455.0,263.0,253.0,282.0,250.0,162.0,431.0,165.0,297.0,433.0,529.0,521.0,317.0,250.0,251.0,361.0,271.0,252.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
