,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7924.0,8835.0,9465.0,9916.0,10822.0,11514.0,12056.0,12516.0,13515.0,14514.0,14970.0,15969.0,16538.0,16902.0,17901.0,18438.0,18895.0,19811.0
Episode reward,0.0,-75.27339507123928,-53.7445277863403,-65.27213047362916,-67.29619349858048,-67.9193334175264,-68.37168125599227,-58.60521748633793,51.03547419215122,39.88034952218179,59.69243462455208,72.22042423671712,62.32467779419697,80.3633725822181,66.80948277224002,79.96330159812801,-38.521492273692026,-75.09372307989172,65.75085547692424,-74.22977425851478,64.5314733594511,77.06881644016721,-59.8671026915945,66.92775060777447,71.92271236888661,43.51388086544854
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,40.80794072151184,82.68686151504517,124.32253575325012,165.69680428504944,207.3211419582367,249.03532314300537,291.54454469680786,330.30170011520386,368.29657673835754,394.9666373729706,414.3607220649719,453.14779353141785,482.274986743927,505.68433809280396,525.921220779419,567.6104454994202,609.0694234371185,628.4790647029877,669.9415888786316,694.5638201236725,710.6159465312958,752.6773238182068,776.0397334098816,795.8964018821716,834.9479525089264
total minutes,0.0,0.6801323453585307,1.378114358584086,2.072042262554169,2.761613404750824,3.4553523659706116,4.15058871905009,4.859075744946797,5.505028335253398,6.138276278972626,6.58277728954951,6.906012034416198,7.55246322552363,8.037916445732117,8.428072301546733,8.765353679656982,9.460174091657002,10.151157057285308,10.474651078383127,11.165693147977192,11.576063668727874,11.84359910885493,12.54462206363678,12.93399555683136,13.264940031369527,13.915799208482106
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,929.0,910.0,629.0,450.0,905.0,691.0,541.0,459.0,998.0,998.0,455.0,998.0,568.0,363.0,998.0,536.0,456.0,915.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
