,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Accumulated time steps,0.0,1000.0,1622.0,2621.0,3425.0,4424.0,5423.0,6422.0,6891.0,7402.0,7978.0,8640.0,9305.0,9881.0,10880.0,11430.0,12235.0,12639.0,13247.0,14151.0,14757.0,15377.0,15785.0,16784.0,17783.0,18419.0,19323.0
Episode reward,0.0,-48.64471476827257,74.81533406809945,-45.10798752395355,68.30324298240622,-63.51661582253058,-63.151489667894126,-64.05221457423575,66.40725471273716,77.38192842359646,67.01600478060915,62.36150059502775,55.61934359936708,67.39555786567115,-58.97651694861142,70.3628524470374,63.38126144294618,80.21809472389424,71.8659799414917,59.234762228181395,71.97114099594769,69.74609975618391,80.02308224771531,-46.605812372577994,-45.217619178785085,67.86779199879419,59.13651196702759
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,41.95478963851929,68.16836428642273,110.38864803314209,144.45007944107056,186.2556598186493,228.1802830696106,269.99361085891724,290.04397463798523,311.8846790790558,336.5672104358673,364.91024684906006,393.4079661369324,418.1343467235565,460.4526205062866,484.2338309288025,518.0659265518188,535.5340435504913,561.3202233314514,599.5664002895355,625.2327938079834,651.5438377857208,669.1617252826691,710.8723382949829,754.4881856441498,781.5166184902191,3843.2852323055267
total minutes,0.0,0.6992464939753215,1.1361394047737121,1.8398108005523681,2.4075013240178427,3.104260996977488,3.8030047178268434,4.499893514315287,4.83406624396642,5.19807798465093,5.609453507264456,6.081837447484334,6.55679943561554,6.968905778725942,7.674210341771444,8.070563848813375,8.63443210919698,8.925567392508189,9.35533705552419,9.992773338158925,10.42054656346639,10.859063963095346,11.152695421377818,11.847872304916383,12.574803094069162,13.025276974836986,64.05475387175878
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,621.0,998.0,803.0,998.0,998.0,998.0,468.0,510.0,575.0,661.0,664.0,575.0,998.0,549.0,804.0,403.0,607.0,903.0,605.0,619.0,407.0,998.0,998.0,635.0,903.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
