,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6655.0,7654.0,8316.0,9315.0,10314.0,11253.0,12252.0,12737.0,13248.0,14060.0,14884.0,15572.0,16449.0,16948.0,17477.0,18072.0,18581.0,19181.0,19584.0
Episode reward,0.0,-52.92218554210541,-2.0150990332212046,-62.39088311562308,-15.889015056405862,-62.6188004349012,-39.955326303909224,53.5525312882754,-29.888851323810723,56.47033487017238,-53.33338887918875,-51.58343470852941,49.484233824488086,-39.52255666309759,73.86925872522986,75.98893355754247,64.91037796777647,62.855811681155934,62.57801013155792,52.79418363455498,72.60458884579577,75.33625415446255,68.54063254626874,72.39255016670793,68.08009721027513,78.12590737101627
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,40.592164039611816,82.18142986297607,124.97130131721497,167.45515966415405,210.14596557617188,252.95526552200317,281.60974526405334,324.8813169002533,353.5424723625183,396.7446811199188,439.62135791778564,480.207154750824,523.5827119350433,544.7305812835693,567.4026787281036,602.2301466464996,637.4550414085388,667.5660767555237,705.9383108615875,728.0788328647614,751.822915315628,778.3306012153625,801.0397214889526,827.5421912670135,845.5940465927124
total minutes,0.0,0.6765360673268636,1.3696904977162678,2.082855021953583,2.790919327735901,3.5024327596028644,4.215921092033386,4.693495754400889,5.414688615004222,5.8923745393753055,6.612411351998647,7.327022631963094,8.003452579180399,8.726378532250722,9.078843021392823,9.456711312135061,10.037169110774993,10.624250690142313,11.126101279258728,11.765638514359791,12.13464721441269,12.530381921927134,12.97217668692271,13.350662024815877,13.792369854450225,14.09323410987854
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,659.0,998.0,661.0,998.0,998.0,938.0,998.0,484.0,510.0,811.0,823.0,687.0,876.0,498.0,528.0,594.0,508.0,599.0,402.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
