,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Accumulated time steps,0.0,432.0,822.0,1383.0,2267.0,2634.0,3060.0,3767.0,4766.0,5659.0,6658.0,7464.0,8463.0,9462.0,10461.0,11460.0,12459.0,13458.0,14457.0,15456.0,16455.0,17454.0,18453.0,19452.0,20451.0
Episode reward,0.0,78.5026046142325,81.48137362575969,77.18857101651747,63.87026411728921,84.1340648490202,83.9399137946104,73.06711008510659,-36.802726530550046,67.1457542387403,-34.536749954242005,71.60704030597721,-34.67146209597126,-34.28371403114455,-36.522470387305056,-34.52553669674769,-33.43910635281344,-34.32524715564913,-33.1644521372647,-32.66585051488848,-32.83716057016682,-35.009715861192014,-37.0706247632825,-34.76273199932538,-33.527969391675356
Episode feedback,0.8,0.46046511520822064,0.3804627239576794,0.36428571363520407,0.2650056622140366,0.18852458964883992,0.18823529367474048,0.1487252122539303,0.0951903806661419,0.08520179362645539,0.04709418832956494,0.045962732862158094,0.0150300601051803,0.00901803606310818,0.012024048084144241,0.0050100200350601,0.0030060120210360602,0.0,0.00200400801402404,0.00100200400701202,0.00100200400701202,0.00100200400701202,0.00100200400701202,0.00100200400701202,0.0
total seconds,0.0,31.989319562911987,61.53266668319702,102.67146754264832,159.23537802696228,181.26519179344177,206.44300842285156,245.54749369621277,298.1691153049469,344.1832501888275,394.1696083545685,434.9232397079468,483.5184898376465,531.8215126991272,579.9797105789185,628.3730731010437,676.4171469211578,724.1015822887421,771.9335205554962,819.8160970211029,867.4419252872467,915.3197495937347,963.382513999939,1011.736528635025,1062.0145316123962
total minutes,0.0,0.5331553260485331,1.0255444447199504,1.7111911257108052,2.653922967116038,3.021086529890696,3.4407168070475262,4.092458228270213,4.969485255082448,5.736387503147125,6.569493472576141,7.248720661799113,8.058641497294108,8.863691878318786,9.666328509648642,10.472884551684063,11.27361911535263,12.068359704812368,12.865558675924937,13.663601617018381,14.457365421454112,15.25532915989558,16.056375233332314,16.862275477250417,17.70024219353994
cummulative feedback,0.0,198.0,346.0,550.0,784.0,853.0,933.0,1038.0,1133.0,1209.0,1256.0,1293.0,1308.0,1317.0,1329.0,1334.0,1337.0,1337.0,1339.0,1340.0,1341.0,1342.0,1343.0,1344.0,1344.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,430.0,389.0,560.0,883.0,366.0,425.0,706.0,998.0,892.0,998.0,805.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
