,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6642.0,7641.0,7923.0,8406.0,9405.0,9905.0,10282.0,11023.0,11506.0,11999.0,12367.0,12744.0,13111.0,13746.0,14228.0,14804.0,15803.0,16292.0,17018.0,17566.0,17955.0,18329.0,18695.0,19517.0
Episode reward,0.0,-67.07740328535348,-70.2659468292718,-66.85673025676212,-61.89383582202921,-68.4245241009975,-69.19953283790669,58.21167741140045,-59.03474555948778,83.92035885640506,72.3724307183286,-57.98604105720529,70.85503480645511,82.21108826353107,59.121702314737156,70.42034894090175,69.47399331789626,77.89107306543417,77.17880114165024,77.43543233356382,61.16983162787719,70.51691966529098,66.12530051379235,-39.61146661970314,77.43208348428938,56.48726344676037,67.71850477287757,76.6121654081077,77.96075245020626,78.1173790042432,50.056113089023484
Episode feedback,0.8,0.014028056098168281,0.00400801602804808,0.07915831655394959,0.07114228449785343,0.037074148259444745,0.04208416829450484,0.01702786375073086,0.012024048084144241,0.021352313091272907,0.004149377584752328,0.00200400801402404,0.006012024036048048,0.00265957446101177,0.0027027026990504017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001739130431758034,0.0,0.0020491803236697124,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,48.271425008773804,96.5895721912384,154.75195932388306,212.51990675926208,267.78338837623596,322.292995929718,354.003755569458,403.47414445877075,418.0337584018707,442.747043132782,492.27898597717285,517.8192965984344,537.3807380199432,574.2303414344788,597.4607863426208,620.6583480834961,638.18860912323,656.4346148967743,674.6609098911285,705.1715381145477,728.9039130210876,757.4587907791138,806.1980776786804,829.680965423584,863.4067752361298,889.4101412296295,908.1989817619324,926.4042048454285,945.0434725284576,984.8749628067017
total minutes,0.0,0.80452375014623,1.6098262031873067,2.5791993220647176,3.5419984459877014,4.463056472937266,5.371549932161967,5.9000625928243,6.7245690743128455,6.9672293066978455,7.379117385546366,8.204649766286215,8.630321609973908,8.956345633665721,9.570505690574645,9.957679772377015,10.344305801391602,10.6364768187205,10.940576914946238,11.244348498185476,11.752858968575795,12.14839855035146,12.624313179651896,13.436634627978007,13.828016090393067,14.390112920602162,14.823502353827159,15.136649696032206,15.440070080757142,15.750724542140961,16.41458271344503
cummulative feedback,0.0,14.0,18.0,97.0,168.0,205.0,247.0,258.0,270.0,276.0,278.0,280.0,283.0,284.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,286.0,287.0,287.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,646.0,998.0,281.0,482.0,998.0,499.0,376.0,740.0,482.0,492.0,367.0,376.0,366.0,634.0,481.0,575.0,998.0,488.0,725.0,547.0,388.0,373.0,365.0,821.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
