,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Accumulated time steps,0.0,649.0,1648.0,2129.0,3128.0,4127.0,5126.0,5644.0,6193.0,7029.0,7443.0,8086.0,8464.0,8831.0,9191.0,9562.0,10009.0,10565.0,10957.0,11880.0,12330.0,12880.0,13252.0,13711.0,13976.0,14332.0,14688.0,14955.0,15222.0,15775.0,16233.0,16904.0,17176.0,17653.0,18424.0,18800.0,19266.0,19733.0
Episode reward,0.0,66.19244464728712,-60.17964211733218,74.56196907685616,-66.64672464474326,-65.61375769462164,-60.479480422942416,69.9376019982641,71.76583359378795,53.711237831334685,75.06689979358941,64.83214809665091,79.7431430828799,81.56516117502264,78.63875615146077,83.13768944105774,75.9933173231805,72.2205893020314,80.97049582837872,52.07581658637856,74.01229006258501,73.2939261189963,80.98250754785343,74.97412804685007,84.20258312970283,79.22416580109498,79.14650828883921,83.96124844954834,84.39967786978512,66.91757668681865,72.5697679209491,67.45429384097947,86.44866975766571,76.43302020863756,62.56400655220192,81.78709863487992,78.02218988453029,77.74618942099673
Episode feedback,0.8,0.3292117460135831,0.00801603205609616,0.08749999981770834,0.00801603205609616,0.01102204407713222,0.026052104182312522,0.02707930362267059,0.012773722604427513,0.013173652678833948,0.012106537500952693,0.009345794377966052,0.01061007954745337,0.013661202148466662,0.005571030625150333,0.002702702695398101,0.0,0.005405405395665936,0.0051150895009844256,0.002169197394610415,0.002227171487244607,0.0,0.0,0.006550218326309567,0.0,0.0,0.0,0.0,0.0,0.0,0.0021881838026516767,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,48.88672351837158,99.23364877700806,126.45115160942078,176.24059391021729,224.7524003982544,275.86427330970764,301.74697279930115,329.4241852760315,371.089195728302,391.9472641944885,423.52129077911377,442.77016830444336,461.00683665275574,479.11627292633057,497.45089411735535,518.8834025859833,544.8567810058594,563.9223217964172,606.8800098896027,628.329996585846,654.0804493427277,672.1302409172058,694.1444511413574,707.5602810382843,725.6266124248505,743.7697768211365,757.6553366184235,771.616886138916,799.3607659339905,822.2932448387146,856.1007325649261,870.334282875061,894.441145658493,933.1112003326416,952.5310463905334,976.5804815292358,1000.4792907238007
total minutes,0.0,0.814778725306193,1.6538941462834675,2.1075191934903463,2.937343231836955,3.7458733399709065,4.597737888495128,5.029116213321686,5.490403087933858,6.184819928805033,6.532454403241475,7.058688179651896,7.379502805074056,7.683447277545929,7.985271215438843,8.290848235289255,8.648056709766388,9.080946350097657,9.39870536327362,10.114666831493377,10.472166609764098,10.901340822378794,11.20217068195343,11.56907418568929,11.792671350638072,12.093776873747508,12.396162947018942,12.627588943640392,12.8602814356486,13.322679432233175,13.704887413978577,14.268345542748769,14.505571381251018,14.90735242764155,15.55185333887736,15.875517439842223,16.2763413588206,16.674654845396677
cummulative feedback,0.0,213.0,221.0,263.0,271.0,282.0,308.0,322.0,329.0,340.0,345.0,351.0,355.0,360.0,362.0,363.0,363.0,366.0,368.0,370.0,371.0,371.0,371.0,374.0,374.0,374.0,374.0,374.0,374.0,374.0,375.0,375.0,375.0,375.0,375.0,375.0,375.0,375.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,647.0,998.0,480.0,998.0,998.0,998.0,517.0,548.0,835.0,413.0,642.0,377.0,366.0,359.0,370.0,446.0,555.0,391.0,922.0,449.0,549.0,371.0,458.0,264.0,355.0,355.0,266.0,266.0,552.0,457.0,670.0,271.0,476.0,770.0,375.0,465.0,466.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
