,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5887.0,6257.0,6621.0,6991.0,7350.0,7798.0,8196.0,8637.0,9518.0,10094.0,10455.0,10746.0,11188.0,11483.0,11760.0,12108.0,12461.0,12829.0,13111.0,13491.0,14022.0,14897.0,15509.0,16209.0,16820.0,17089.0,17446.0,17814.0,18433.0
Episode reward,0.0,-58.12106719736031,-56.71881416990442,-69.87581523830937,-75.43666505257914,-86.12188665178908,34.914582030875806,76.39579362071973,77.83477974457911,85.0402105977584,78.64811833926939,72.84438571902497,81.57288905852597,73.67255513361748,46.802650125505615,78.18745223568811,78.3673831885771,86.45625051506384,72.80570984170652,86.1300693890416,87.5373347932058,78.87171096303749,78.8436322120289,76.61160776106024,87.52503596519547,77.14545386099492,69.30423372227874,49.14520235983914,64.12087930403497,58.88241856497092,64.27779745659066,83.37270061080682,79.22114517900778,78.26511104463664,63.28608958854116
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,42.548157930374146,86.32742929458618,130.33666348457336,173.9490442276001,218.14322566986084,257.4346601963043,274.6337969303131,291.52946066856384,309.0820109844208,325.30280470848083,345.1002085208893,363.488481760025,383.77628111839294,422.95133996009827,448.59453201293945,465.09387159347534,478.8560400009155,499.0947835445404,512.4797639846802,525.7300233840942,541.9064996242523,558.2903962135315,575.2369525432587,588.2752227783203,605.4733436107635,629.0936138629913,668.1138167381287,695.92431473732,727.2804589271545,754.4110853672028,766.8719434738159,783.4888396263123,800.5799288749695,827.6726739406586
total minutes,0.0,0.7091359655062358,1.438790488243103,2.1722777247428895,2.8991507371266683,3.635720427831014,4.290577669938405,4.577229948838552,4.858824344476064,5.151366849740346,5.421713411808014,5.751670142014821,6.058141362667084,6.3962713519732155,7.049188999334971,7.476575533548991,7.751564526557923,7.980934000015258,8.318246392409007,8.54132939974467,8.762167056401571,9.031774993737539,9.304839936892192,9.587282542387644,9.804587046305338,10.091222393512727,10.484893564383189,11.13523027896881,11.598738578955333,12.121340982119243,12.57351808945338,12.781199057896933,13.058147327105205,13.342998814582824,13.794544565677644
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,890.0,369.0,363.0,369.0,358.0,447.0,397.0,440.0,880.0,575.0,360.0,290.0,441.0,294.0,276.0,347.0,352.0,367.0,281.0,379.0,530.0,874.0,611.0,699.0,610.0,268.0,356.0,367.0,618.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
