,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Accumulated time steps,0.0,440.0,913.0,1912.0,2176.0,2451.0,2902.0,3279.0,3907.0,4906.0,5905.0,6654.0,7011.0,7645.0,7919.0,8364.0,8628.0,8971.0,9343.0,9795.0,10001.0,10566.0,11233.0,11497.0,11942.0,12214.0,12567.0,12825.0,13097.0,13361.0,13720.0,13980.0,14383.0,14645.0,15204.0,15559.0,16006.0,16285.0,16655.0,16935.0,17198.0,17791.0,18151.0,18425.0,18887.0,19149.0,19503.0,19769.0
Episode reward,0.0,79.72363510875354,77.08610413992042,-65.82921396326806,86.41815869701115,85.65287279166546,79.375106713918,81.98504819057341,67.80050155044921,-57.04571902120996,-56.556166338513776,56.699281093617884,79.8148475225675,61.03433690195267,84.39165718246907,77.1690676596015,84.14450596021862,81.73257600189103,80.1688060165067,77.71749170891458,86.76429485373262,69.30882686409869,65.28545250381801,85.80994877120642,77.02396228726751,85.12291660914958,81.73251351615808,85.53049375882244,82.45320559009079,83.15999596971965,77.75569577099647,86.38075422644917,76.26922240315503,86.25884037555932,69.9717809056606,81.59535096461784,76.94209387292321,84.04621583710045,79.86565319153502,83.92916652140487,85.96934635466323,66.65765794299679,81.00939269673985,84.60431704889223,75.25120746251713,86.25924059473515,81.72518001185443,85.57808128121827
Episode feedback,0.8,0.44292237341798546,0.2796610163566504,0.00801603205609616,0.11406844063091848,0.08394160553305983,0.1444444441234568,0.12765957412856496,0.11004784671443725,0.05711422839968514,0.03106212421737262,0.02540106948475793,0.011235955024618103,0.00789889414233982,0.010989010948758201,0.0067567567415388365,0.007604562708727899,0.0029239765996374955,0.008086253347476407,0.0044345897906106655,0.0,0.001773049642246366,0.0015015014992469948,0.0,0.0,0.0,0.0,0.003891050568517313,0.0,0.0,0.002793296081582972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,29.097254753112793,58.02116060256958,104.65516877174377,118.72174668312073,133.1289165019989,157.71886610984802,178.25561571121216,211.70296335220337,262.51707100868225,312.6674838066101,350.1323618888855,368.617463350296,400.539101600647,414.93623399734497,437.79114174842834,451.7054545879364,469.5536229610443,488.54991579055786,511.84928345680237,522.9903154373169,551.5673089027405,585.3871605396271,599.4206244945526,622.3846871852875,636.5820705890656,654.9308705329895,668.63782787323,682.9215729236603,696.6773884296417,714.8039145469666,728.2363624572754,748.2991049289703,761.5435752868652,788.7067267894745,806.7991621494293,829.6532778739929,844.170569896698,863.4521207809448,877.9696118831635,891.562091588974,920.5293335914612,938.6738953590393,952.0566833019257,974.5835282802582,987.4564106464386,1004.6903533935547,1017.7355227470398
total minutes,0.0,0.48495424588521324,0.9670193433761597,1.7442528128623962,1.978695778052012,2.218815275033315,2.628647768497467,2.9709269285202025,3.528382722536723,4.375284516811371,5.211124730110169,5.835539364814759,6.143624389171601,6.675651693344117,6.91560389995575,7.296519029140472,7.528424243132274,7.825893716017405,8.142498596509297,8.530821390946706,8.716505257288615,9.192788481712341,9.756452675660451,9.990343741575877,10.37307811975479,10.609701176484426,10.915514508883158,11.143963797887166,11.382026215394339,11.611289807160695,11.913398575782775,12.137272707621257,12.471651748816173,12.692392921447754,13.145112113157909,13.44665270249049,13.827554631233216,14.0695094982783,14.390868679682415,14.63282686471939,14.859368193149567,15.342155559857686,15.644564922650655,15.867611388365427,16.24305880467097,16.45760684410731,16.744839223225913,16.962258712450662
cummulative feedback,0.0,194.0,326.0,334.0,364.0,387.0,452.0,500.0,569.0,626.0,657.0,676.0,680.0,685.0,688.0,691.0,693.0,694.0,697.0,699.0,699.0,700.0,701.0,701.0,701.0,701.0,701.0,702.0,702.0,702.0,703.0,703.0,703.0,703.0,703.0,703.0,703.0,703.0,703.0,703.0,703.0,703.0,703.0,703.0,703.0,703.0,703.0,703.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,438.0,472.0,998.0,263.0,274.0,450.0,376.0,627.0,998.0,998.0,748.0,356.0,633.0,273.0,444.0,263.0,342.0,371.0,451.0,205.0,564.0,666.0,263.0,444.0,271.0,352.0,257.0,271.0,263.0,358.0,259.0,402.0,261.0,558.0,354.0,446.0,278.0,369.0,279.0,262.0,592.0,359.0,273.0,461.0,261.0,353.0,265.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
