,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3261.0,3739.0,4114.0,4294.0,4893.0,5263.0,5540.0,6539.0,7176.0,8175.0,8449.0,8714.0,9273.0,9732.0,10227.0,10740.0,11108.0,11370.0,11617.0,12135.0,12382.0,12838.0,13245.0,13606.0,13974.0,14241.0,14855.0,15105.0,15629.0,16143.0,16479.0,16992.0,17238.0,17585.0,17927.0,18263.0,18688.0,18868.0,19215.0,19383.0,19634.0,19882.0
Episode reward,0.0,-59.26122788865479,-63.7373357132503,-56.19259304214967,85.87808154380494,71.97847606041434,79.70975058659565,89.24862761280237,66.60951341558808,78.95395842594013,85.32425211821128,-58.89850664802652,64.33391677460412,-55.66280767982153,85.0168838606526,86.08923489082348,66.86520396198256,73.49196369044384,77.10811393479543,71.71102883910223,79.03703790820151,88.87910447484919,86.38309514138328,71.4450335126265,86.13658502599907,74.67226062022881,86.05759387497665,78.61138554030335,80.39137737760862,89.33012012367116,81.46205343185395,85.79619759665968,70.92327759941665,71.57724811302029,81.41579585553393,71.47190269909137,86.38106989638746,80.01664362293442,81.21442810430693,81.52699240482407,76.62967201306961,88.41974560065088,80.01495663928237,89.62184541317694,86.15289277352734,86.38730834788709
Episode feedback,0.8,0.27755510994232957,0.0060120240420721205,0.18837675331825976,0.0687022898141134,0.07547169795498596,0.04545454533300924,0.05027932932804844,0.03344481599758392,0.027100270929267558,0.03260869553402647,0.026052104182312522,0.00943396224931767,0.00801603205609616,0.007326007299172135,0.015151515094123049,0.00537634407638648,0.004366812217539711,0.006072874481633858,0.0,0.0027247956329024643,0.0038314176098413117,0.0,0.0,0.0,0.0021978021929718633,0.0024630541811254823,0.0,0.0027247956329024643,0.0,0.0016313213676487416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,73.19121384620667,121.72040939331055,188.09787464141846,201.53884601593018,226.86967515945435,245.37803554534912,254.82633996009827,284.1883337497711,302.54265427589417,316.52600145339966,365.59688806533813,396.38419914245605,444.02820801734924,457.84623503685,471.2045340538025,498.39308881759644,520.7445483207703,544.8049931526184,569.8077821731567,588.0270750522614,601.2937431335449,613.8644835948944,638.9622020721436,651.465086221695,673.7427644729614,693.5949454307556,711.3886051177979,729.5017535686493,743.0219216346741,771.6986074447632,783.9021909236908,808.3194572925568,832.4033982753754,848.5123915672302,872.5000243186951,884.5367784500122,901.1218893527985,917.4509222507477,933.5138516426086,953.5322613716125,962.596673488617,979.1519243717194,987.7229828834534,1000.0091826915741,1012.1062722206116
total minutes,0.0,1.2198535641034445,2.0286734898885093,3.1349645773569743,3.3589807669321696,3.7811612526575726,4.089633925755819,4.247105666001638,4.736472229162852,5.042377571264903,5.275433357556661,6.093281467755635,6.606403319040934,7.400470133622488,7.630770583947499,7.853408900896708,8.306551480293274,8.679075805346171,9.080083219210307,9.496796369552612,9.800451250871022,10.021562385559083,10.231074726581573,10.649370034535727,10.857751437028249,11.229046074549357,11.55991575717926,11.856476751963298,12.158362559477489,12.383698693911235,12.86164345741272,13.065036515394846,13.471990954875945,13.873389971256255,14.14187319278717,14.541667071978251,14.742279640833537,15.018698155879974,15.290848704179128,15.558564194043477,15.892204356193542,16.04327789147695,16.319198739528655,16.462049714724223,16.666819711526234,16.868437870343527
cummulative feedback,0.0,277.0,283.0,471.0,489.0,525.0,542.0,551.0,571.0,581.0,590.0,616.0,622.0,630.0,632.0,636.0,639.0,641.0,644.0,644.0,645.0,646.0,646.0,646.0,646.0,647.0,648.0,648.0,649.0,649.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0,650.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,262.0,477.0,374.0,179.0,598.0,369.0,276.0,998.0,636.0,998.0,273.0,264.0,558.0,458.0,494.0,512.0,367.0,261.0,246.0,517.0,246.0,455.0,406.0,360.0,367.0,266.0,613.0,249.0,523.0,513.0,335.0,512.0,245.0,346.0,341.0,335.0,424.0,179.0,346.0,167.0,250.0,247.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
