,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Accumulated time steps,0.0,1000.0,1508.0,2258.0,3167.0,4095.0,4600.0,5424.0,6154.0,6838.0,7837.0,8266.0,8638.0,9282.0,9735.0,10105.0,10747.0,11585.0,12015.0,12357.0,12802.0,13146.0,13664.0,14024.0,14632.0,15573.0,15937.0,16205.0,16561.0,17418.0
Episode reward,0.0,-69.74007252403183,68.27675981723343,53.486239248836526,43.441031376887835,88.31185378817169,86.84799236890088,52.11148534549283,70.1760584658006,51.797513154385726,-69.46684793360997,90.02408335289941,85.53160204110935,82.20256540303289,85.89454434474402,86.22132233682713,81.61368405262839,76.52074173863042,78.97763094556092,83.09216964944522,77.9500412170192,77.8749649647347,66.89077485859778,76.6789427898918,60.76217561957377,39.9276538572897,76.32353372748264,81.92170577913006,77.02686643847244,45.20233014797743
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,42.791454553604126,64.69288659095764,96.18704581260681,134.88574385643005,174.02370357513428,195.62532234191895,230.1219871044159,260.83465242385864,289.931156873703,331.76950001716614,350.2815480232239,366.6628038883209,393.917756319046,413.4765431880951,429.83031821250916,457.2811527252197,492.5735569000244,511.16451501846313,526.1094138622284,545.2692062854767,560.1465728282928,582.0285561084747,597.5213906764984,623.2484595775604,662.2198498249054,677.9907939434052,689.8737716674805,705.2628545761108,741.7761404514313
total minutes,0.0,0.7131909092267354,1.0782147765159606,1.6031174302101134,2.2480957309405007,2.900395059585571,3.2604220390319822,3.835366451740265,4.3472442070643105,4.83218594789505,5.529491666952769,5.838025800387064,6.111046731472015,6.565295938650767,6.891275719801585,7.163838636875153,7.621352545420328,8.209559281667074,8.519408583641052,8.76849023103714,9.087820104757945,9.33577621380488,9.700475935141245,9.958689844608307,10.387474326292674,11.036997497081757,11.299846565723419,11.497896194458008,11.754380909601847,12.36293567419052
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,507.0,749.0,908.0,927.0,504.0,823.0,729.0,683.0,998.0,428.0,371.0,643.0,452.0,369.0,641.0,837.0,429.0,341.0,444.0,343.0,517.0,359.0,607.0,940.0,363.0,267.0,355.0,856.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
