,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Accumulated time steps,0.0,1000.0,1999.0,2705.0,2970.0,3390.0,3905.0,4243.0,4492.0,5096.0,5363.0,5607.0,5855.0,6016.0,6271.0,6527.0,6795.0,7154.0,7412.0,7569.0,8048.0,8208.0,8564.0,9002.0,9163.0,9415.0,9701.0,10154.0,10442.0,10805.0,11093.0,11353.0,11549.0,11712.0,12069.0,12313.0,12571.0,12904.0,13450.0,13783.0,14294.0,14574.0,14824.0,15247.0,15588.0,15923.0,16315.0,16566.0,16915.0,17173.0,17333.0,17917.0,18382.0,18741.0,19188.0
Episode reward,0.0,-66.41438979174156,-45.03580154073874,73.69075496114783,90.77108606949434,83.34930483334472,81.2651994642971,81.90527099513994,87.24888042797487,60.74920954327641,87.62189514606133,85.49467934950204,84.87064681384052,89.93528139985057,84.32413857313709,84.9483076925882,83.7243996806683,72.8211591070721,85.37072762507808,91.19183538134735,72.35174753150164,91.12377164999978,80.76953675410255,77.41030047697271,91.1238236301461,86.99917969447314,86.83663749183707,83.84873971335172,89.41172899677795,80.38683227677048,89.35755045442002,85.54216998479073,87.4379636711085,90.72625040447154,80.23292564531224,83.72270071487675,81.85812133433676,77.88068413727336,62.73230023982341,77.69498103745198,65.56825780533208,81.1531099236857,83.72564666723311,70.83025584487896,77.58077027218532,77.8591394969225,71.12757082597744,83.66472603570536,82.38350266897714,86.69280693347179,91.36294311983988,67.66692616988557,75.12734435422169,81.1735502409316,77.1283331579161
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,46.12132287025452,93.12556195259094,126.8520438671112,140.06956577301025,160.461576461792,185.05056476593018,201.83862686157227,214.22771000862122,242.71447658538818,256.0425820350647,268.271461725235,280.7138750553131,289.20499753952026,301.514506816864,314.25906682014465,327.55041670799255,345.07508659362793,358.0256485939026,366.3138208389282,388.9852714538574,397.0983307361603,414.69433426856995,435.9484167098999,444.47931718826294,457.1308479309082,471.3499846458435,493.0665283203125,507.37840700149536,524.99431848526,539.0086526870728,551.998078584671,561.9956595897675,570.5325691699982,588.1022238731384,600.3499507904053,613.3548333644867,629.6727044582367,655.5329842567444,671.7817070484161,696.1554200649261,709.9753339290619,722.4975867271423,743.1121232509613,759.4438610076904,775.9689664840698,794.8924298286438,807.4207479953766,824.4495358467102,837.3502700328827,845.6419467926025,873.482798576355,895.8649981021881,913.5095093250275,934.9800713062286
total minutes,0.0,0.7686887145042419,1.552092699209849,2.1142007311185202,2.3344927628835044,2.674359607696533,3.0841760794321695,3.3639771143595376,3.57046183347702,4.045241276423137,4.267376367251078,4.471191028753917,4.678564584255218,4.820083292325338,5.025241780281067,5.237651113669077,5.4591736117998755,5.751251443227132,5.9670941432317095,6.10523034731547,6.48308785756429,6.618305512269338,6.911572237809499,7.265806945164998,7.4079886198043825,7.618847465515136,7.8558330774307255,8.217775472005208,8.456306783358256,8.749905308087667,8.983477544784545,9.199967976411184,9.366594326496124,9.508876152833302,9.801703731218973,10.005832513173422,10.222580556074778,10.494545074303945,10.925549737612407,11.196361784140269,11.602590334415435,11.83292223215103,12.041626445452373,12.385202054182688,12.657397683461507,12.932816108067831,13.24820716381073,13.45701246658961,13.74082559744517,13.955837833881379,14.094032446543375,14.55804664293925,14.931083301703135,15.225158488750457,15.583001188437144
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,705.0,264.0,419.0,514.0,337.0,248.0,603.0,266.0,243.0,247.0,160.0,254.0,255.0,267.0,358.0,257.0,156.0,478.0,159.0,355.0,437.0,160.0,251.0,285.0,452.0,287.0,362.0,287.0,259.0,195.0,162.0,356.0,243.0,257.0,332.0,545.0,332.0,510.0,279.0,249.0,422.0,340.0,334.0,391.0,250.0,348.0,257.0,159.0,583.0,464.0,358.0,446.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
