,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Accumulated time steps,0.0,634.0,1258.0,1503.0,1912.0,2264.0,2859.0,3296.0,3563.0,4216.0,4699.0,4943.0,5588.0,6385.0,6879.0,7190.0,8189.0,8576.0,9575.0,10126.0,10752.0,11751.0,12750.0,13478.0,13970.0,14969.0,15730.0,16729.0,17300.0,18299.0,19298.0,20192.0
Episode reward,0.0,68.71244201899606,70.87995226394904,87.61854397409013,81.67948082961362,84.73254145994143,71.86808626963825,81.41564177231908,87.34927767741982,71.71045195548128,80.62673994982211,90.29666605284477,74.31093757981598,68.16693766354257,78.8677262103067,87.28793677608368,-33.80890823054997,84.11728217447263,-37.64957039016577,77.13878222474946,75.24818877112409,-39.17468160408252,-38.182596473264404,71.42777771354942,80.30436152324279,-36.81370423807674,69.60262509220274,-38.48261256698897,80.08525333818795,-38.902933824453896,-35.89781348866438,68.79142343398779
Episode feedback,0.8,0.40189873354129946,0.3563402883525838,0.27459016280905674,0.21568627398116108,0.2507122499979708,0.14646464621807298,0.12844036667788908,0.10902255598111821,0.09662576672296662,0.08506224048742274,0.08230452641026945,0.07298136634630223,0.04773869340736345,0.04259634879797901,0.045161290176899065,0.024048096168288482,0.015544041410507664,0.012024048084144241,0.010909090889256198,0.00479999999232,0.00400801602804808,0.0030060120210360602,0.0013755158165398682,0.002036659873652424,0.00200400801402404,0.0,0.0,0.0,0.00100200400701202,0.0,0.0
total seconds,0.0,43.330111503601074,88.7718448638916,105.18781661987305,130.3802351951599,152.67612838745117,186.21593189239502,210.84368658065796,225.80649137496948,260.7440519332886,286.3693561553955,299.7651023864746,333.0672905445099,373.21098232269287,398.0795977115631,414.1419746875763,462.9955108165741,482.3407337665558,530.624678850174,557.6232931613922,588.0324566364288,635.9278721809387,683.6349945068359,718.8635196685791,742.9495177268982,790.9083845615387,827.389081954956,874.9931502342224,902.7989912033081,951.9484143257141,1000.6406042575836,1043.9222395420074
total minutes,0.0,0.7221685250600179,1.4795307477315267,1.753130276997884,2.173003919919332,2.544602139790853,3.10359886487325,3.514061443010966,3.763441522916158,4.345734198888143,4.772822602589925,4.996085039774576,5.551121509075164,6.220183038711548,6.634659961859385,6.902366244792939,7.716591846942902,8.039012229442596,8.843744647502898,9.29372155268987,9.800540943940481,10.598797869682311,11.393916575113932,11.981058661142985,12.38249196211497,13.181806409358979,13.7898180325826,14.583219170570374,15.046649853388468,15.865806905428569,16.67734340429306,17.39870399236679
cummulative feedback,0.0,254.0,476.0,543.0,631.0,719.0,806.0,862.0,891.0,954.0,995.0,1015.0,1062.0,1100.0,1121.0,1135.0,1159.0,1165.0,1177.0,1183.0,1186.0,1190.0,1193.0,1194.0,1195.0,1197.0,1197.0,1197.0,1197.0,1198.0,1198.0,1198.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,632.0,623.0,244.0,408.0,351.0,594.0,436.0,266.0,652.0,482.0,243.0,644.0,796.0,493.0,310.0,998.0,386.0,998.0,550.0,625.0,998.0,998.0,727.0,491.0,998.0,760.0,998.0,570.0,998.0,998.0,893.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
