,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
Accumulated time steps,0.0,871.0,1033.0,1936.0,2935.0,3509.0,4508.0,5507.0,6506.0,7505.0,8504.0,9503.0,10502.0,11283.0,12018.0,12678.0,13042.0,13615.0,14075.0,14453.0,14812.0,15170.0,15447.0,15592.0,15864.0,16020.0,16179.0,16337.0,16589.0,16727.0,16971.0,17119.0,17272.0,17510.0,17750.0,17897.0,18281.0,18420.0,18607.0,18853.0,18993.0,19140.0,19287.0,19441.0,19607.0,19852.0,20122.0
Episode reward,0.0,56.318986012113896,90.07035534327298,52.274374766529135,-62.58266189528606,56.957299091896324,-50.58641330928387,-52.6030509564798,-98.32595902107522,-99.73429655827451,-99.83050232369516,-70.57673408570088,-72.89925563840464,51.58337459754142,56.11996089171901,63.94419900808083,82.30043802324982,71.7397202225971,76.7904400818836,83.10895599236885,82.29678855742907,80.50996686390309,88.83674114804663,92.54199002793159,84.59461328412033,91.61957355104188,90.38986989286784,91.23042249331571,86.60418101813097,93.87984571452174,87.52624849795906,90.76691744940138,89.04913621490188,88.08611324704943,86.96636468326751,92.6708823645293,82.48544652914605,93.79124580657285,89.41702043184556,86.78954277536269,92.15652715307463,91.55737466706324,92.65945284206704,90.32551615914096,90.967184551999,86.21789556675195,86.44736411455138
Episode feedback,0.8,0.33141541964163934,0.09937888137031752,0.1707317071277919,0.08917835662406978,0.08376963336165857,0.10721442875028614,0.048096192336576964,0.024048096168288482,0.0150300601051803,0.01102204407713222,0.01102204407713222,0.00200400801402404,0.007692307682445759,0.004087193454922079,0.004552352041650452,0.00275482092905008,0.0,0.0021786492327262545,0.0,0.002793296081582972,0.002801120440332996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,72.83654546737671,83.79026532173157,155.98677515983582,227.07865142822266,267.46796774864197,331.9594326019287,389.3561191558838,443.4458096027374,496.59864497184753,549.6790692806244,602.5675058364868,654.7107207775116,696.4846138954163,735.5650260448456,770.8709816932678,790.3894193172455,820.7760188579559,845.4761009216309,865.6975562572479,884.8914551734924,904.0996325016022,919.2223398685455,927.4560630321503,942.4497661590576,951.3319590091705,960.3868095874786,969.3775207996368,983.2041041851044,991.3016707897186,1005.1404182910919,1013.7052879333496,1022.50603723526,1035.9193828105927,1049.4574885368347,1057.9892354011536,1078.9005942344666,1086.9546036720276,1097.445482492447,1111.1423363685608,1119.441947221756,1127.9842882156372,1136.6152517795563,1145.4964220523834,1155.170726299286,1169.0842349529266,1184.3029119968414
total minutes,0.0,1.2139424244562784,1.3965044220288594,2.5997795859972634,3.784644190470378,4.457799462477366,5.532657210032145,6.489268652598063,7.390763493378957,8.276644082864125,9.16131782134374,10.042791763941446,10.91184534629186,11.608076898256938,12.259417100747426,12.847849694887797,13.173156988620757,13.679600314299266,14.091268348693848,14.428292604287465,14.748190919558207,15.068327208360037,15.320372331142426,15.457601050535837,15.70749610265096,15.855532650152842,16.006446826457978,16.15629201332728,16.38673506975174,16.52169451316198,16.752340304851533,16.895088132222494,17.041767287254334,17.26532304684321,17.49095814228058,17.63315392335256,17.981676570574443,18.11591006120046,18.29075804154078,18.51903893947601,18.657365787029267,18.799738136927285,18.943587529659272,19.09160703420639,19.252845438321433,19.484737249215446,19.738381866614024
cummulative feedback,0.0,288.0,304.0,458.0,547.0,595.0,702.0,750.0,774.0,789.0,800.0,811.0,813.0,819.0,822.0,825.0,826.0,826.0,827.0,827.0,828.0,829.0,829.0,829.0,829.0,829.0,829.0,829.0,829.0,829.0,829.0,829.0,829.0,829.0,829.0,829.0,829.0,829.0,829.0,829.0,829.0,829.0,829.0,829.0,829.0,829.0,829.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,869.0,161.0,902.0,998.0,573.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,780.0,734.0,659.0,363.0,572.0,459.0,377.0,358.0,357.0,276.0,144.0,271.0,155.0,158.0,157.0,251.0,137.0,243.0,147.0,152.0,237.0,239.0,146.0,383.0,138.0,186.0,245.0,139.0,146.0,146.0,153.0,165.0,244.0,269.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
