,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3245.0,4244.0,4918.0,5917.0,6916.0,7250.0,8249.0,8875.0,9874.0,10017.0,10432.0,11411.0,12202.0,13201.0,13485.0,14484.0,14627.0,15626.0,16625.0,17392.0,18391.0,18758.0,19301.0,19768.0,20363.0
Episode reward,0.0,-62.98251829566594,-69.49105687051079,-67.1940888292188,82.39113652741705,-74.16964429969549,53.47674245441581,-77.11546250300029,-97.4141376249756,68.54383426878069,-97.47676021109628,39.552326843086085,-91.91030392555285,88.15454328988415,65.8797022194623,9.858203925189954,33.60395828232477,-97.05267221334087,76.25176211164538,-89.84727836612333,86.48544275274735,-89.77672128770729,-95.33331785160202,49.72025117053638,-52.29592906644218,81.9823177593367,77.64260822211281,73.30530942170225,71.97365966503034
Episode feedback,0.8,0.2104208414725242,0.14829659303777898,0.16833667317801937,0.09349593457928482,0.08717434861004575,0.06537890034861976,0.03607214425243272,0.024048096168288482,0.027027026945864785,0.0100200400701202,0.01919999996928,0.00801603205609616,0.0,0.004830917862727251,0.006134969318880399,0.005063291132831277,0.00100200400701202,0.007067137784215061,0.00200400801402404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,71.52526926994324,143.54507565498352,215.51209473609924,231.73473525047302,294.167715549469,335.3341107368469,392.58610939979553,448.4598972797394,467.75954818725586,522.9641451835632,558.401937007904,613.7426788806915,622.708249092102,647.2396245002747,702.6323645114899,746.491961479187,801.4443349838257,817.8313012123108,872.0301043987274,880.4036889076233,934.5451974868774,988.2154245376587,1029.8163058757782,1083.1595265865326,1103.0957593917847,1133.1033363342285,1158.7905054092407,1191.2735440731049
total minutes,0.0,1.1920878211657207,2.392417927583059,3.591868245601654,3.862245587507884,4.902795259157816,5.5889018456141155,6.543101823329925,7.474331621328989,7.795992469787597,8.71606908639272,9.306698950131734,10.229044648011525,10.3784708182017,10.787327075004578,11.71053940852483,12.441532691319784,13.35740558306376,13.630521686871846,14.533835073312124,14.673394815127056,15.575753291447958,16.470257075627647,17.163605097929636,18.05265877644221,18.38492932319641,18.885055605570475,19.31317509015401,19.85455906788508
cummulative feedback,0.0,210.0,358.0,526.0,549.0,636.0,680.0,716.0,740.0,749.0,759.0,771.0,779.0,779.0,781.0,787.0,791.0,792.0,794.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0,796.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,246.0,998.0,673.0,998.0,998.0,333.0,998.0,625.0,998.0,142.0,414.0,978.0,790.0,998.0,283.0,998.0,142.0,998.0,998.0,766.0,998.0,366.0,542.0,466.0,594.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
