,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6560.0,6981.0,7411.0,8343.0,8996.0,9341.0,10041.0,10473.0,10724.0,11450.0
Episode reward,0.0,-74.9321826765594,-75.02258014271322,-70.02189264835052,-59.960873694191555,-65.82393312146998,-7.0480297713170375,66.08114178900996,68.8053381229162,68.21437993466735,70.19165706777827,57.80326198454388,79.3346894557476,57.96323847543334,73.5805056605326,84.64509921258532,74.32566115980056
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,41.315550804138184,83.59911179542542,125.8005383014679,167.2063217163086,208.2045259475708,250.5235857963562,274.9838457107544,293.6559956073761,312.488840341568,352.3534736633301,380.10542345046997,394.9685106277466,424.99231028556824,443.6544032096863,454.939129114151,485.439857006073
total minutes,0.0,0.6885925134023031,1.393318529923757,2.0966756383577985,2.786772028605143,3.4700754324595136,4.175393096605936,4.58306409517924,4.894266593456268,5.208147339026133,5.872557894388835,6.335090390841166,6.582808510462443,7.083205171426138,7.394240053494771,7.582318818569183,8.09066428343455
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,564.0,420.0,429.0,931.0,652.0,344.0,699.0,431.0,250.0,725.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
