,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Accumulated time steps,0.0,1000.0,1532.0,1975.0,2595.0,2966.0,3223.0,4222.0,5221.0,6220.0,7219.0,7619.0,8618.0,9617.0,10616.0,11615.0,12614.0,13613.0,14612.0,15611.0,16610.0,17609.0,18608.0,19606.0,20605.0
Episode reward,0.0,-57.06958763263487,72.3021786950056,77.76520308770121,69.46054018979083,81.7822543042611,88.29581507757916,-47.18827384143507,-41.503273961800105,-47.44233444870166,-43.05338431045366,79.58864936195695,-47.90327370983739,-47.08163015037409,-44.672382953941984,-40.9671954127931,-40.821695209753905,-43.54119731921739,-44.25261080541703,-44.009259515758515,-45.24769751648223,-42.65857982182716,-44.594732361028335,57.10739987466577,-41.56665841823661
Episode feedback,0.8,0.2955911820685459,0.2843691143420544,0.22850678681333306,0.17770597709579003,0.18108108059167274,0.15234374940490722,0.08216432857498564,0.07214428850486544,0.0450901803155409,0.035070140245420704,0.0300751878945484,0.0200400801402404,0.01903807613322838,0.01102204407713222,0.00400801602804808,0.0050100200350601,0.0030060120210360602,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,65.02868795394897,100.72795748710632,129.22191262245178,166.17941451072693,189.09500002861023,204.775981426239,258.51060605049133,311.37015891075134,362.91090750694275,413.4181091785431,434.1433424949646,483.75553488731384,533.5476043224335,582.8552932739258,632.248010635376,683.9176938533783,734.1930558681488,783.9390847682953,833.122195482254,882.2259526252747,931.3300573825836,980.5455808639526,1029.5981078147888,1078.4989657402039
total minutes,0.0,1.0838114658991496,1.678799291451772,2.1536985437075296,2.7696569085121157,3.1515833338101706,3.41293302377065,4.308510100841522,5.189502648512522,6.0485151251157125,6.890301819642385,7.235722374916077,8.062592248121897,8.892460072040558,9.714254887898763,10.537466843922934,11.398628230889639,12.236550931135813,13.065651412804922,13.885369924704234,14.70376587708791,15.52216762304306,16.342426347732545,17.159968463579812,17.97498276233673
cummulative feedback,0.0,295.0,446.0,547.0,657.0,724.0,763.0,845.0,917.0,962.0,997.0,1009.0,1029.0,1048.0,1059.0,1063.0,1068.0,1071.0,1071.0,1071.0,1071.0,1071.0,1071.0,1071.0,1071.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,531.0,442.0,619.0,370.0,256.0,998.0,998.0,998.0,998.0,399.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,997.0,998.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
