,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Accumulated time steps,0.0,516.0,1116.0,1903.0,2431.0,3430.0,4070.0,5069.0,6068.0,7067.0,8064.0,9063.0,10062.0,11061.0,12060.0,13059.0,14058.0,15057.0,16056.0,17055.0,18054.0,19053.0,20052.0
Episode reward,0.0,77.03827486471565,78.04128383791699,70.0307059966455,81.38549192080731,-35.51006422621221,76.3582781628325,-31.538699550442473,-29.129421318967694,-30.496366732560542,68.38209954005998,-29.485898447947804,-31.986602913104036,-30.645597395427743,-29.64167427089333,-30.855849357984557,-29.07597182605059,-27.443796136146496,-32.65497138251507,-28.18525648382249,-31.818666153056416,-31.427766004805306,-32.69291422196141
Episode feedback,0.8,0.501945524315281,0.4440734550182413,0.3091603049501777,0.21252371876181458,0.14428857700973088,0.12050078228403634,0.10320641272223806,0.06412825644876928,0.02304609216127646,0.022088353391477557,0.02204408815426444,0.00901803606310818,0.00801603205609616,0.00100200400701202,0.00200400801402404,0.00200400801402404,0.00100200400701202,0.0,0.00100200400701202,0.0,0.0,0.0
total seconds,0.0,36.45060920715332,78.71503829956055,129.00051426887512,160.39460062980652,214.9047772884369,249.95614790916443,302.8216452598572,354.3156349658966,403.6563329696655,453.4386212825775,502.6261625289917,551.0351867675781,599.0899140834808,647.0731072425842,694.9292771816254,742.6663887500763,790.4873549938202,838.5969729423523,886.4878113269806,933.8615643978119,982.0014390945435,1029.6768729686737
total minutes,0.0,0.6075101534525553,1.3119173049926758,2.150008571147919,2.6732433438301086,3.581746288140615,4.165935798486074,5.04702742099762,5.905260582764943,6.727605549494426,7.557310354709625,8.377102708816528,9.183919779459636,9.984831901391347,10.784551787376405,11.582154619693757,12.377773145834604,13.174789249897003,13.97661621570587,14.774796855449676,15.564359406630198,16.366690651575723,17.161281216144562
cummulative feedback,0.0,258.0,524.0,767.0,879.0,1023.0,1100.0,1203.0,1267.0,1290.0,1312.0,1334.0,1343.0,1351.0,1352.0,1354.0,1356.0,1357.0,1357.0,1358.0,1358.0,1358.0,1358.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,514.0,599.0,786.0,527.0,998.0,639.0,998.0,998.0,998.0,996.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
