,0,1,2,3,4
Accumulated time steps,0.0,51.0,101.0,151.0,201.0
Episode reward,0.0,-2.7825155480447137,-3.6521230375074087,-3.611876549518218,-3.907630874167738
Episode feedback,0.8,0.22448979133694305,0.14285713994169102,0.3469387684298211,0.20408162848813005
total seconds,0.0,2.460768938064575,5.671145677566528,10.26158332824707,14.268388748168945
total minutes,0.0,0.04101281563440959,0.0945190946261088,0.17102638880411783,0.23780647913614908
cummulative feedback,0.0,11.0,18.0,35.0,45.0
Ph,0.8,0.9,0.9,0.9,0.9
steps_that_episode,0.0,49.0,49.0,49.0,49.0
e,0.001,0.001,0.001,0.001,0.001
buffer size,1010.0,1010.0,1010.0,1010.0,1010.0
human model,1.0,1.0,1.0,1.0,1.0
