,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Accumulated time steps,0.0,1000.0,1999.0,2909.0,3332.0,4331.0,4754.0,5105.0,6104.0,7103.0,8102.0,9036.0,10035.0,10602.0,11266.0,12265.0,12778.0,13777.0,14521.0,15520.0,16013.0,16969.0,17671.0,18667.0,19247.0
Episode reward,0.0,-32.42071759445518,-30.95957654695076,39.54256579334241,86.54988762745624,-38.86602354734425,87.5606017284222,77.00788017627774,-30.51769546736347,-44.17275203454465,-56.20254093425491,37.28927460619311,-66.58821722839527,66.48655000948435,77.32445284752299,-27.959481642409802,79.06592691839563,-43.65474211169204,61.700937297564955,-44.390569726708414,75.98453311802456,55.97806787103488,65.82156903059135,52.14830719166721,72.67912469751694
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,45.864755153656006,93.03000569343567,135.79208207130432,156.43091917037964,203.63088154792786,224.29551696777344,241.3957691192627,288.26154112815857,335.3805615901947,382.2519199848175,426.15011858940125,472.8386936187744,499.87996912002563,531.5693771839142,578.2877631187439,602.8502175807953,649.7330665588379,684.9349019527435,731.864935874939,755.3020234107971,800.139612197876,833.2388932704926,879.7379608154297,907.5092706680298
total minutes,0.0,0.7644125858942667,1.5505000948905945,2.263201367855072,2.607181986172994,3.3938480257987975,3.7382586161295572,4.023262818654378,4.804359018802643,5.589676026503245,6.370865333080292,7.102501976490021,7.88064489364624,8.331332818667095,8.859489619731903,9.638129385312398,10.047503626346588,10.828884442647299,11.415581699212392,12.197748931248983,12.588367056846618,13.335660203297932,13.887314887841542,14.662299346923827,15.12515451113383
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,909.0,422.0,998.0,422.0,350.0,998.0,998.0,998.0,933.0,998.0,566.0,663.0,998.0,512.0,998.0,743.0,998.0,492.0,955.0,701.0,995.0,579.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
