,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6900.0,7899.0,8329.0,8976.0,9824.0,10173.0,10516.0,11031.0,11281.0,11820.0,12361.0,12789.0,13225.0,13907.0,14334.0,14697.0,15464.0,15719.0,16236.0,16763.0,17099.0,17523.0,17860.0
Episode reward,0.0,-70.13686916832087,-71.9331204395272,-70.71090106961067,-53.10514187006991,-62.92325046727083,-7.094320265981238,45.7878948946972,-76.23368171025568,68.21438335516153,78.15240063760461,46.77792816081451,79.05277779840173,79.50408035839608,68.84895455338264,84.77593218937604,81.73606617988605,66.5213415753411,74.43331641719175,74.78607059061326,60.68579382391143,74.92967455367994,78.46144784179228,55.76592954748616,84.50879568901676,70.27259569099962,68.5243699269418,80.47388767353567,75.43447750476676,80.35547743836759
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,42.57209777832031,86.47428560256958,130.7533552646637,175.18757581710815,218.9276032447815,262.29431438446045,302.09472918510437,345.279128074646,364.65854120254517,393.256142616272,430.1313717365265,446.1460723876953,461.5302734375,484.2372040748596,495.99633741378784,519.9869129657745,543.6405594348907,562.8493168354034,582.2270255088806,611.7864215373993,630.9629719257355,647.2611253261566,680.7168524265289,692.3703155517578,715.8643355369568,739.2964069843292,754.7029509544373,773.636031627655,788.7770659923553
total minutes,0.0,0.7095349629720052,1.4412380933761597,2.179222587744395,2.9197929302851358,3.6487933874130247,4.371571906407675,5.034912153085073,5.754652134577433,6.077642353375753,6.554269043604533,7.168856195608774,7.435767873128255,7.692171223958334,8.070620067914327,8.26660562356313,8.666448549429576,9.060675990581512,9.380821947256724,9.703783758481343,10.196440358956655,10.516049532095591,10.78768542210261,11.345280873775483,11.539505259195964,11.93107225894928,12.321606783072154,12.578382515907288,12.893933860460917,13.146284433205922
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,904.0,998.0,429.0,646.0,847.0,348.0,342.0,514.0,249.0,538.0,540.0,427.0,435.0,681.0,426.0,362.0,766.0,254.0,516.0,526.0,335.0,423.0,336.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
