,0,1,2,3,4
Accumulated time steps,0.0,51.0,101.0,151.0,201.0
Episode reward,0.0,-2.842854464815633,-3.8857524961827723,-3.9317026310668575,-3.3712694956224976
Episode feedback,0.8,0.20408162848813005,0.22448979133694305,0.32653060558100805,0.22448979133694305
total seconds,0.0,2.4013378620147705,6.046483993530273,10.416810750961304,14.448070049285889
total minutes,0.0,0.04002229770024617,0.10077473322550455,0.17361351251602172,0.24080116748809816
cummulative feedback,0.0,10.0,21.0,37.0,48.0
Ph,0.8,0.9,0.9,0.9,0.9
steps_that_episode,0.0,49.0,49.0,49.0,49.0
e,0.001,0.001,0.001,0.001,0.001
buffer size,1010.0,1010.0,1010.0,1010.0,1010.0
human model,1.0,1.0,1.0,1.0,1.0
