,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8485.0,9484.0,10483.0,11482.0,12481.0,13480.0,14479.0,15478.0,16477.0,17476.0,18475.0,19474.0,20473.0
Episode reward,0.0,-53.492357785885645,-63.16144867905494,-65.1739779088392,-61.17492587838664,-63.650380475372884,-64.8372015058892,-66.80746826223252,-63.7758799845612,66.95729991930813,-68.94395114372985,-57.33551326349112,-66.00096026271555,-66.91503691112358,-68.8484846212631,-60.47861876574539,-67.21406346190525,-63.53754181304066,-67.79500118128514,-70.17075705660456,-69.69739335507714,-65.3252436070411
Episode feedback,0.8,0.4218436869520604,0.20440881743045208,0.09318637265211786,0.14529058101674291,0.09619238467315393,0.04709418832956494,0.0150300601051803,0.0200400801402404,0.024439918483829086,0.01803607212621636,0.007014028049084141,0.0030060120210360602,0.00200400801402404,0.00100200400701202,0.00200400801402404,0.0,0.00100200400701202,0.0,0.0,0.0,0.0
total seconds,0.0,119.3306155204773,216.9302682876587,286.95728635787964,358.63694524765015,422.98247146606445,482.06604743003845,537.358829498291,592.9962687492371,621.0481562614441,676.8756127357483,730.8469939231873,784.7873568534851,838.319518327713,892.2407219409943,946.0929296016693,999.5549712181091,1053.2335186004639,1107.3928263187408,1161.3835549354553,1219.5365538597107,1279.8538858890533
total minutes,0.0,1.988843592007955,3.6155044714609783,4.782621439297994,5.977282420794169,7.049707857767741,8.034434123833973,8.955980491638183,9.883271145820618,10.350802604357401,11.281260212262472,12.180783232053122,13.079789280891418,13.971991972128551,14.87067869901657,15.768215493361156,16.65924952030182,17.553891976674397,18.456547105312346,19.356392582257588,20.325609230995177,21.33089809815089
cummulative feedback,0.0,421.0,625.0,718.0,863.0,959.0,1006.0,1021.0,1041.0,1053.0,1071.0,1078.0,1081.0,1083.0,1084.0,1086.0,1086.0,1087.0,1087.0,1087.0,1087.0,1087.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,491.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
