,0,1,2,3,4
Accumulated time steps,0.0,51.0,101.0,151.0,201.0
Episode reward,0.0,-2.70778011212856,-3.608061078064679,-3.7703261653142626,-4.323751122945566
Episode feedback,0.8,0.18367346563931702,0.16326530279050402,0.3061224427321951,0.36734693127863405
total seconds,0.0,2.368065595626831,5.592468023300171,9.96904993057251,14.576040029525757
total minutes,0.0,0.03946775992711385,0.09320780038833618,0.1661508321762085,0.24293400049209596
cummulative feedback,0.0,9.0,17.0,32.0,50.0
Ph,0.8,0.9,0.9,0.9,0.9
steps_that_episode,0.0,49.0,49.0,49.0,49.0
e,0.001,0.001,0.001,0.001,0.001
buffer size,1010.0,1010.0,1010.0,1010.0,1010.0
human model,1.0,1.0,1.0,1.0,1.0
