,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Accumulated time steps,0.0,1000.0,1403.0,2004.0,2445.0,3084.0,3787.0,4199.0,5198.0,6197.0,6607.0,7606.0,8605.0,9604.0,10603.0,11602.0,12601.0,13600.0,14599.0,15598.0,16425.0,17424.0,18423.0,19422.0,20172.0
Episode reward,0.0,-71.79389076725778,80.23520940300006,72.17413301101244,80.42799589451423,72.5391970404157,69.17785499262538,82.72954622678992,-36.791939934339815,-36.316908466071276,83.94747567507636,-39.48068813602082,-37.75355931792241,-36.92066263481045,-38.45656200048658,-37.638732621370245,-40.058113740117136,-37.44216241389667,-38.06687587848014,-36.36542139445797,67.25936148966355,-38.666209386504356,-38.48348360850629,-37.27445455721574,72.06905637358349
Episode feedback,0.8,0.01102204407713222,0.3980099492586817,0.30666666615555555,0.24318181762913224,0.17554858906653825,0.15954415931688867,0.12165450092054866,0.08116232456797362,0.05110220435761302,0.05134474315074635,0.0300601202103606,0.02304609216127646,0.00901803606310818,0.00901803606310818,0.0060120240420721205,0.00400801602804808,0.0050100200350601,0.00200400801402404,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,44.5838098526001,72.912029504776,112.59182715415955,139.51164150238037,177.6661558151245,220.6741006374359,244.9296214580536,298.345685005188,348.86359667778015,370.3772029876709,419.6671996116638,468.72828221321106,516.5571229457855,564.9445550441742,613.1256046295166,660.9650349617004,709.1596894264221,757.1065928936005,804.9126329421997,844.814891576767,892.9448344707489,940.4726798534393,988.0925304889679,1024.1624054908752
total minutes,0.0,0.743063497543335,1.2152004917462667,1.8765304525693258,2.3251940250396728,2.961102596918742,3.6779016772905986,4.082160357634226,4.9724280834198,5.814393277963003,6.172953383127848,6.994453326861064,7.812138036886851,8.609285382429759,9.41574258406957,10.21876007715861,11.016083916028341,11.819328157107035,12.618443214893341,13.415210549036662,14.080248192946117,14.882413907845814,15.674544664223989,16.4682088414828,17.06937342484792
cummulative feedback,0.0,11.0,171.0,355.0,462.0,574.0,686.0,736.0,817.0,868.0,889.0,919.0,942.0,951.0,960.0,966.0,970.0,975.0,977.0,977.0,977.0,977.0,977.0,977.0,977.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,402.0,600.0,440.0,638.0,702.0,411.0,998.0,998.0,409.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,826.0,998.0,998.0,998.0,749.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
