,0,1,2,3,4
Accumulated time steps,0.0,51.0,101.0,151.0,201.0
Episode reward,0.0,-2.823025084579342,-3.9733985800540976,-4.321155879970992,-4.244777422982524
Episode feedback,0.8,0.24489795418575605,0.20408162848813005,0.18367346563931702,0.28571427988338205
total seconds,0.0,2.363862991333008,6.024425745010376,9.943868637084961,14.21733021736145
total minutes,0.0,0.0393977165222168,0.10040709575017294,0.16573114395141603,0.23695550362269083
cummulative feedback,0.0,12.0,22.0,31.0,45.0
Ph,0.8,0.9,0.9,0.9,0.9
steps_that_episode,0.0,49.0,49.0,49.0,49.0
e,0.001,0.001,0.001,0.001,0.001
buffer size,1010.0,1010.0,1010.0,1010.0,1010.0
human model,1.0,1.0,1.0,1.0,1.0
