,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Accumulated time steps,0.0,1000.0,1642.0,2373.0,3372.0,4371.0,5370.0,6369.0,7368.0,8367.0,9282.0,9757.0,10228.0,10794.0,11460.0,12386.0,12933.0,13392.0,14305.0,15145.0,15615.0,16177.0,17176.0,17647.0,18045.0,18701.0,19448.0
Episode reward,0.0,-72.42925190784185,75.68701664094132,66.9210673030189,-63.22586700618734,-40.98545664863581,-66.94887387288426,-65.4999433550011,-64.67169613564339,-50.7136306591622,50.13138028512033,68.57600498508643,75.15941523320971,63.86709410826834,62.78755140649158,40.148891215358795,65.2943781028429,71.10420669540648,48.00432855036195,57.12545719091645,75.89248957707,71.39785277919397,-54.334686280945384,75.94032948993987,78.35280379460083,66.69864502099011,62.07227133754518
Episode feedback,0.8,0.01102204407713222,0.3619344768144548,0.1972602737023832,0.01102204407713222,0.11122244477833422,0.00901803606310818,0.0060120240420721205,0.00801603205609616,0.00801603205609616,0.008752735220183003,0.0021097046368993575,0.006382978709823449,0.001769911501292192,0.0015037593962349482,0.0,0.0,0.0,0.0010964912268678823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,46.44318509101868,91.38938355445862,133.2556402683258,180.20066690444946,233.13547325134277,281.66190791130066,331.26915287971497,380.8700203895569,430.61814284324646,476.31823229789734,500.53153371810913,524.5255033969879,553.1838414669037,586.9790134429932,632.9981429576874,660.9838886260986,683.8271517753601,728.0105929374695,769.8436913490295,793.929211139679,822.0378360748291,871.0971324443817,894.0520787239075,913.9434094429016,945.896092414856,982.6202700138092
total minutes,0.0,0.7740530848503113,1.5231563925743103,2.22092733780543,3.003344448407491,3.885591220855713,4.694365131855011,5.521152547995249,6.347833673159282,7.176969047387441,7.938637204964956,8.342192228635152,8.742091723283131,9.219730691115062,9.78298355738322,10.54996904929479,11.01639814376831,11.397119196256002,12.133509882291158,12.830728189150493,13.232153518994648,13.700630601247152,14.518285540739695,14.90086797873179,15.232390157381694,15.764934873580932,16.377004500230154
cummulative feedback,0.0,11.0,243.0,387.0,398.0,509.0,518.0,524.0,532.0,540.0,548.0,549.0,552.0,553.0,554.0,554.0,554.0,554.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,641.0,730.0,998.0,998.0,998.0,998.0,998.0,998.0,914.0,474.0,470.0,565.0,665.0,925.0,546.0,458.0,912.0,839.0,469.0,561.0,998.0,470.0,397.0,655.0,746.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
