,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Accumulated time steps,0.0,946.0,1300.0,2234.0,3118.0,3747.0,4362.0,4879.0,5878.0,6877.0,7876.0,8875.0,9874.0,10873.0,11872.0,12871.0,13870.0,14869.0,15868.0,16867.0,17866.0,18865.0,19864.0,20863.0
Episode reward,0.0,55.24359673375916,85.19098170832898,58.16506778886819,64.56742132279234,73.20541496232426,75.3949972048359,80.25471749609582,-38.02040106149416,-34.459581529994026,-37.664839831169424,-33.36386085923094,-35.493614097606226,-35.018090166746546,-34.74250177447156,-34.582176694398406,-34.36431372365995,-35.719272819973234,-34.080701172062156,-35.32523104114833,-31.606296591384385,-35.55157588072798,-35.7418860448568,-35.12353961657734
Episode feedback,0.8,0.39512711822550095,0.36543909244918105,0.26366559457270566,0.20838052071531085,0.1337579615704491,0.12214983693460939,0.08333333317183463,0.05110220435761302,0.0400801602804808,0.02304609216127646,0.01903807613322838,0.00901803606310818,0.007014028049084141,0.00400801602804808,0.00100200400701202,0.00200400801402404,0.00200400801402404,0.0,0.00100200400701202,0.0,0.00100200400701202,0.00100200400701202,0.0
total seconds,0.0,70.14891195297241,97.04295253753662,158.6484227180481,212.49553751945496,248.06942629814148,283.0617687702179,311.17812156677246,362.83700132369995,413.9131052494049,463.369323015213,512.8822386264801,562.060765504837,612.0689308643341,662.7801501750946,715.9595701694489,766.7736568450928,816.5155510902405,866.1993389129639,915.4448306560516,964.5408153533936,1013.5967497825623,1062.5206305980682,1113.2061252593994
total minutes,0.0,1.16914853254954,1.617382542292277,2.644140378634135,3.541592291990916,4.134490438302358,4.717696146170298,5.186302026112874,6.047283355394999,6.898551754156748,7.7228220502535505,8.548037310441336,9.367679425080617,10.201148847738901,11.046335836251577,11.932659502824148,12.779560947418213,13.608592518170674,14.436655648549397,15.257413844267527,16.075680255889893,16.893279163042703,17.70867717663447,18.55343542098999
cummulative feedback,0.0,373.0,502.0,748.0,932.0,1016.0,1091.0,1134.0,1185.0,1225.0,1248.0,1267.0,1276.0,1283.0,1287.0,1288.0,1290.0,1292.0,1292.0,1293.0,1293.0,1294.0,1295.0,1295.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,944.0,353.0,933.0,883.0,628.0,614.0,516.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
