,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Accumulated time steps,0.0,550.0,1188.0,1340.0,2127.0,2393.0,2641.0,3240.0,3652.0,4315.0,4747.0,5003.0,5868.0,6736.0,7735.0,8623.0,9622.0,10469.0,11468.0,12467.0,13466.0,14465.0,15226.0,16225.0,17224.0,18223.0,19222.0,20221.0
Episode reward,0.0,73.21792332950616,70.86765350669819,92.02573701658892,63.13145295569917,88.22116725219101,89.0544924677259,72.44583767438095,82.53397674757377,74.9507471099688,83.33771667306904,89.69762967491832,65.67882813326666,70.05366209625228,-32.93508128829275,71.14718506493038,-36.20407474419047,68.86610457714386,-33.38642288816059,-37.161289578480485,-33.20801101096037,-33.38038907846348,73.80782990650577,-33.22857787289274,-37.89465598114075,-33.58918794069934,-31.200343488731246,-32.6025359755123
Episode feedback,0.8,0.4288321160057808,0.3406593401245536,0.21854304491031096,0.19083969441368995,0.24528301794232824,0.14170040428461375,0.13712374559009408,0.1362530410310145,0.11178247717253402,0.11832946608276226,0.08627450946559016,0.06365740733372985,0.04382929637389931,0.035070140245420704,0.018038331434004136,0.01603206411219232,0.004728132382118047,0.0050100200350601,0.00100200400701202,0.00400801602804808,0.0,0.0,0.0,0.00100200400701202,0.0,0.00100200400701202,0.0
total seconds,0.0,37.449225664138794,82.23754143714905,93.05397748947144,146.35300660133362,165.7306571006775,181.72303366661072,221.77517867088318,247.62930178642273,284.6156129837036,309.4175910949707,323.6159522533417,368.2940604686737,411.8361358642578,460.8056375980377,504.1405522823334,552.4616611003876,593.2049071788788,640.8138644695282,688.424546957016,736.733479976654,784.4059114456177,821.255241394043,868.7518963813782,916.3178238868713,963.9569330215454,1011.5227377414703,1059.4770255088806
total minutes,0.0,0.6241537610689799,1.3706256906191507,1.550899624824524,2.4392167766888937,2.7621776183446247,3.0287172277768453,3.696252977848053,4.1271550297737125,4.743593549728393,5.156959851582845,5.393599204222361,6.138234341144562,6.863935597737631,7.680093959967295,8.402342538038889,9.207694351673126,9.886748452981314,10.680231074492136,11.4737424492836,12.278891332944234,13.07343185742696,13.687587356567382,14.47919827302297,15.271963731447856,16.065948883692425,16.858712295691173,17.65795042514801
cummulative feedback,0.0,235.0,452.0,485.0,635.0,700.0,735.0,817.0,873.0,947.0,998.0,1020.0,1075.0,1113.0,1148.0,1164.0,1180.0,1184.0,1189.0,1190.0,1194.0,1194.0,1194.0,1194.0,1195.0,1195.0,1196.0,1196.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,548.0,637.0,151.0,786.0,265.0,247.0,598.0,411.0,662.0,431.0,255.0,864.0,867.0,998.0,887.0,998.0,846.0,998.0,998.0,998.0,998.0,760.0,998.0,998.0,998.0,998.0,998.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
