,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Accumulated time steps,0.0,437.0,866.0,1323.0,2124.0,3123.0,3478.0,3832.0,4263.0,4881.0,5418.0,5861.0,6287.0,6568.0,7567.0,7941.0,8403.0,8950.0,9435.0,9977.0,10284.0,10764.0,11402.0,12143.0,12923.0,13226.0,14218.0,15217.0,15891.0,16760.0,17759.0,18758.0,19233.0,20014.0
Episode reward,0.0,78.53262041929949,80.29549751662007,77.42884405240106,61.61241327533837,-45.864304683390095,82.9809411634075,82.58659072919053,82.01717412873822,71.5560741605153,77.66098628094802,81.46431568999864,81.73625430814434,91.62325079266782,-38.386362840003194,84.60609697076166,81.09049637941612,83.4729446868444,82.54331978602139,84.00222507111621,89.33332052725407,82.94402115500712,75.30713600416702,75.75368606997262,76.03720921114633,87.58566082605591,68.80471661536052,-29.431942424498104,81.25251778229128,72.97453316914667,-28.174090638299333,-34.21377850620997,82.82228552799982,71.49544191679026
Episode feedback,0.8,0.4367816081913066,0.35280373749344923,0.2872807011243844,0.1787499997765625,0.13727454896064675,0.07627118622522264,0.07648725190796812,0.08604651142779882,0.07293354931453233,0.05970149242593005,0.04977375554349829,0.05411764693148789,0.035714285586734694,0.033066132231396664,0.016085790841593055,0.02386117131483477,0.01465201462517946,0.010330578491052523,0.0166358594886583,0.003267973845529497,0.004175365335750803,0.0,0.0013513513495252009,0.003851091137546738,0.0,0.004036326938409357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,28.419829607009888,56.44890904426575,85.22154259681702,131.23016953468323,185.94638204574585,205.15919709205627,224.32427215576172,247.44296383857727,279.3042435646057,306.9349148273468,329.6855981349945,351.8850803375244,366.7136356830597,416.19054770469666,435.3344717025757,458.8779938220978,486.4407880306244,510.9715139865875,538.3921682834625,554.0606265068054,577.8531243801117,609.09303855896,645.1108813285828,682.9686229228973,698.1202793121338,745.8981771469116,793.8262069225311,826.2722346782684,867.6048576831818,914.9121661186218,962.7033333778381,985.8089461326599,1023.2274603843689
total minutes,0.0,0.4736638267834981,0.9408151507377625,1.4203590432802835,2.1871694922447205,3.0991063674290973,3.419319951534271,3.738737869262695,4.124049397309621,4.655070726076762,5.115581913789113,5.494759968916575,5.86475133895874,6.1118939280509945,6.936509128411611,7.255574528376261,7.64796656370163,8.107346467177074,8.516191899776459,8.973202804724375,9.234343775113423,9.630885406335194,10.151550642649333,10.751848022143045,11.382810382048289,11.635337988535563,12.43163628578186,13.230436782042185,13.771203911304474,14.460080961386362,15.248536101977031,16.045055556297303,16.430149102210997,17.053791006406147
cummulative feedback,0.0,190.0,341.0,472.0,615.0,752.0,779.0,806.0,843.0,888.0,920.0,942.0,965.0,975.0,1008.0,1014.0,1025.0,1033.0,1038.0,1047.0,1048.0,1050.0,1050.0,1051.0,1054.0,1054.0,1058.0,1058.0,1058.0,1058.0,1058.0,1058.0,1058.0,1058.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,435.0,428.0,456.0,800.0,998.0,354.0,353.0,430.0,617.0,536.0,442.0,425.0,280.0,998.0,373.0,461.0,546.0,484.0,541.0,306.0,479.0,637.0,740.0,779.0,302.0,991.0,998.0,673.0,868.0,998.0,998.0,474.0,780.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
