,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Accumulated time steps,0.0,1000.0,1702.0,2598.0,3597.0,4206.0,4742.0,5741.0,6718.0,7618.0,8349.0,8819.0,9667.0,10466.0,10994.0,11375.0,11828.0,12530.0,12881.0,13417.0,13770.0,14212.0,15211.0,15581.0,15948.0,16444.0
Episode reward,0.0,-70.63393216619052,61.81661474712242,37.04960504436576,-68.3910323453889,65.42371825422399,62.15897565299711,-69.51739639987868,57.52046396309223,62.13178125964939,71.63644638362521,81.33676366803229,70.16490436968706,52.91855631884719,68.91665112104411,75.89183886145865,73.16236506296141,58.621263999157954,79.14501915647224,68.44736470335582,79.12831942533805,73.96259425859643,-29.290365772729807,85.34574867677301,85.20723050138727,79.66601467470495
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,43.872284173965454,75.4882264137268,115.08834981918335,157.99760913848877,184.96942806243896,208.38357043266296,251.54032850265503,294.12239694595337,334.03277492523193,366.32560205459595,387.39385318756104,424.6357982158661,459.77013325691223,483.78154492378235,501.3857617378235,522.4081010818481,552.8871653079987,569.0148115158081,593.4061141014099,610.097918510437,629.8270585536957,673.9047136306763,691.3227298259735,708.1886067390442,730.6030352115631
total minutes,0.0,0.7312047362327576,1.2581371068954468,1.9181391636530558,2.6332934856414796,3.0828238010406492,3.4730595072110493,4.192338808377584,4.902039949099223,5.567212915420532,6.105426700909932,6.456564219792684,7.077263303597769,7.6628355542818705,8.063025748729705,8.356429362297058,8.706801684697469,9.214786088466644,9.483580191930136,9.890101901690166,10.168298641840616,10.497117642561594,11.231745227177937,11.522045497099558,11.803143445650736,12.176717253526052
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,701.0,895.0,998.0,608.0,535.0,998.0,976.0,899.0,730.0,469.0,847.0,798.0,527.0,380.0,452.0,701.0,350.0,535.0,352.0,441.0,998.0,369.0,366.0,495.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
