,0,1,2,3,4,5,6
Accumulated time steps,0.0,52.0,103.0,154.0,205.0,256.0,307.0
Episode reward,0.0,-2.8775816198656936,-3.8691234020471406,-4.343478379118664,-3.756556228433402,-4.081736642640936,-3.6224845118820803
Episode feedback,0.8,0.15999999680000007,0.25999999480000013,0.25999999480000013,0.33999999320000013,0.25999999480000013,0.2799999944000001
total seconds,0.0,2.451998710632324,6.167957305908203,10.489785194396973,15.050395488739014,19.361570358276367,23.74919080734253
total minutes,0.0,0.0408666451772054,0.10279928843180339,0.17482975323994954,0.2508399248123169,0.3226928393046061,0.39581984678904214
cummulative feedback,0.0,8.0,21.0,34.0,51.0,64.0,78.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,50.0,50.0,50.0,50.0,50.0,50.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0
