,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Accumulated time steps,0.0,379.0,1236.0,1479.0,1821.0,2268.0,2522.0,2874.0,3250.0,3848.0,4825.0,5707.0,6050.0,6448.0,7367.0,7937.0,8264.0,8888.0,9504.0,9905.0,10763.0,11625.0,12197.0,13196.0,14012.0,14750.0,15272.0,16127.0,16612.0,17611.0,18099.0,19098.0,19968.0,20918.0
Episode reward,0.0,81.62375516561346,56.24165589647871,87.41644577328357,84.11923264405945,78.38608291339509,88.55857015690265,83.45441059226535,80.58426943538747,74.45026825596419,62.74977163395576,68.16375056441646,86.40497437520942,84.15367676583989,66.7836603557165,74.73535603738621,88.25081418975486,83.2723400356127,77.43323062053531,85.2577954958556,67.3895097126344,68.82805489048468,78.45423322981046,-30.814111072769315,67.91817753354928,80.85901251326354,87.03288130001759,71.73037116077106,87.7135959255632,-30.514060852430386,84.1157678837713,-36.131032172665165,70.93441473551064,71.55734979939389
Episode feedback,0.8,0.40848806257695475,0.24532710251714124,0.21487603216993376,0.24926686143910012,0.15919282475517305,0.22924901095158495,0.19088319033936413,0.14666666627555555,0.12562814049308518,0.09323770482250235,0.06015891026088659,0.05555555539311241,0.03778337521968923,0.04030501084934095,0.024604569376793374,0.021472392572170575,0.009630818604123887,0.009756097545112037,0.0049999999875,0.009334889137298847,0.008130081291370404,0.005253940446140209,0.0030060120210360602,0.0024539877270503218,0.0,0.0019193857928610637,0.0011709601859824822,0.0,0.00200400801402404,0.0,0.0,0.0,0.0
total seconds,0.0,28.148366928100586,84.8350841999054,100.94293642044067,123.7131929397583,150.3103370666504,166.9191505908966,188.81812477111816,210.93645691871643,244.59828352928162,300.1579067707062,348.53923892974854,367.2902774810791,388.3902630805969,436.11398124694824,465.6738007068634,482.6203923225403,513.9809782505035,544.7837109565735,565.5449755191803,608.364893913269,651.0993230342865,679.8006255626678,728.152871131897,768.2887835502625,804.2583074569702,830.3085477352142,872.3201096057892,896.8118734359741,945.9988276958466,970.2705185413361,1019.3520987033844,1062.2378180027008,1111.5301661491394
total minutes,0.0,0.4691394488016764,1.4139180699984233,1.6823822736740113,2.0618865489959717,2.505172284444173,2.78198584318161,3.1469687461853026,3.5156076153119407,4.07663805882136,5.00263177951177,5.808987315495809,6.121504624684651,6.473171051343282,7.268566354115804,7.761230011781056,8.043673205375672,8.566349637508392,9.079728515942891,9.425749591986339,10.139414898554485,10.851655383904776,11.330010426044463,12.135881185531616,12.80481305917104,13.404305124282837,13.838475795586904,14.53866849342982,14.946864557266235,15.76664712826411,16.171175309022267,16.989201645056408,17.703963633378347,18.52550276915232
cummulative feedback,0.0,154.0,364.0,416.0,501.0,572.0,630.0,697.0,752.0,827.0,918.0,971.0,990.0,1005.0,1042.0,1056.0,1063.0,1069.0,1075.0,1077.0,1085.0,1092.0,1095.0,1098.0,1100.0,1100.0,1101.0,1102.0,1102.0,1104.0,1104.0,1104.0,1104.0,1104.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,377.0,856.0,242.0,341.0,446.0,253.0,351.0,375.0,597.0,976.0,881.0,342.0,397.0,918.0,569.0,326.0,623.0,615.0,400.0,857.0,861.0,571.0,998.0,815.0,737.0,521.0,854.0,484.0,998.0,487.0,998.0,869.0,949.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
