,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Accumulated time steps,0.0,713.0,1497.0,1839.0,2192.0,3191.0,4190.0,5189.0,6188.0,7187.0,8186.0,9185.0,10184.0,11183.0,12182.0,13181.0,14180.0,15179.0,16178.0,17177.0,18176.0,19175.0,20174.0
Episode reward,0.0,71.94071992361017,70.06488151928635,87.1206508020397,86.21530396590532,-34.62221438334593,-32.69847118992033,-29.612670650308154,-31.956495089690144,-31.987504060887,-29.65306311874853,-30.812736455278635,-31.34024230219215,-34.399289389067675,-32.70228044570363,-29.208490079322697,-30.335125054650604,-31.63988848185985,-29.488851427125798,-32.999746426688134,-32.37926688579607,-33.88207986803475,-29.60977808391505
Episode feedback,0.8,0.4697608994799425,0.3805874835496967,0.322580644215306,0.22159090846138946,0.21442885750057228,0.12625250488351453,0.09318637265211786,0.054108216378649085,0.033066132231396664,0.03206412822438464,0.01903807613322838,0.00801603205609616,0.0060120240420721205,0.00200400801402404,0.0030060120210360602,0.0,0.00200400801402404,0.00100200400701202,0.0,0.0,0.0,0.0
total seconds,0.0,53.29814839363098,113.08089804649353,139.55067086219788,163.69720363616943,233.29942774772644,288.89539337158203,341.6834046840668,392.36757802963257,441.4856753349304,490.7492296695709,539.4159970283508,587.5047011375427,635.3161175251007,683.2222702503204,731.3777120113373,779.0116205215454,827.0516612529755,874.5869338512421,922.1959185600281,969.9371964931488,1017.7247033119202,1065.1107640266418
total minutes,0.0,0.888302473227183,1.8846816341082255,2.3258445143699644,2.7282867272694906,3.888323795795441,4.814923222859701,5.694723411401113,6.539459633827209,7.358094588915507,8.179153827826182,8.99026661713918,9.791745018959045,10.588601958751678,11.387037837505341,12.189628533522288,12.983527008692423,13.784194354216257,14.5764488975207,15.369931976000467,16.16561994155248,16.962078388532003,17.751846067110698
cummulative feedback,0.0,334.0,632.0,742.0,820.0,1034.0,1160.0,1253.0,1307.0,1340.0,1372.0,1391.0,1399.0,1405.0,1407.0,1410.0,1410.0,1412.0,1413.0,1413.0,1413.0,1413.0,1413.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,711.0,783.0,341.0,352.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
