,0,1,2,3,4
Accumulated time steps,0.0,51.0,101.0,151.0,201.0
Episode reward,0.0,-2.9445777133138415,-3.525660885296479,-3.893690118194884,-4.447663342933669
Episode feedback,0.8,0.12244897709287803,0.14285713994169102,0.16326530279050402,0.3061224427321951
total seconds,0.0,2.2661054134368896,5.48626184463501,9.033643245697021,13.372636318206787
total minutes,0.0,0.037768423557281494,0.0914376974105835,0.15056072076161703,0.22287727197011312
cummulative feedback,0.0,6.0,13.0,21.0,36.0
Ph,0.8,0.9,0.9,0.9,0.9
steps_that_episode,0.0,49.0,49.0,49.0,49.0
e,0.1,0.1,0.1,0.1,0.1
buffer size,1012.0,1012.0,1012.0,1012.0,1012.0
human model,1.0,1.0,1.0,1.0,1.0
