,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Accumulated time steps,0.0,1000.0,1999.0,2733.0,3243.0,3830.0,4324.0,5314.0,6071.0,6407.0,6990.0,7911.0,8414.0,9087.0,9729.0,10149.0,10394.0,10714.0,11311.0,11916.0,12282.0,12658.0,12926.0,13744.0,14300.0,14567.0,15091.0,15453.0,15733.0,16434.0,17053.0,17317.0,17685.0,18243.0,18799.0,19353.0
Episode reward,0.0,-65.97125713356266,-50.5412222726836,62.47407656982562,66.18670364247157,61.67567554915506,78.04625645282269,36.14683602747185,51.74170382968228,78.6569844399156,64.33322696042575,71.69538623649537,70.1244375268869,62.07175338206359,81.76801667614231,75.9753777534535,85.77515917396636,78.29128298145365,65.52860807291266,82.85642925106214,88.338412879237,85.10236208716225,90.25285858375256,78.50939544652866,84.74882125834186,89.38272924646616,82.62993859744826,87.98071272404607,89.38913542555059,81.09816312296903,80.26534093461457,90.34177439732423,86.7820617624563,84.68307677831861,84.72484375431884,84.629162541104
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,42.5687050819397,86.62179470062256,118.71601986885071,141.052551984787,166.931734085083,189.00784182548523,231.86175656318665,264.96668124198914,280.08103799819946,305.7700037956238,345.5119204521179,367.6429388523102,397.7399682998657,426.34225630760193,445.43119764328003,456.8230276107788,471.15223932266235,497.8416745662689,524.5342762470245,540.9294908046722,558.0968039035797,570.9063222408295,607.5325763225555,632.8281009197235,645.0701658725739,668.3086128234863,684.5156021118164,697.8979399204254,729.0904018878937,756.4500291347504,768.8693532943726,785.6344487667084,810.6043472290039,835.8382270336151,860.8101933002472
total minutes,0.0,0.7094784180323283,1.4436965783437092,1.9786003311475118,2.3508758664131166,2.782195568084717,3.1501306970914205,3.8643626093864443,4.416111354033152,4.668017299969991,5.096166729927063,5.758532007535298,6.127382314205169,6.628999471664429,7.105704271793366,7.423853294054667,7.613717126846313,7.852537322044372,8.29736124277115,8.742237937450408,9.015491513411204,9.301613398392995,9.515105370680491,10.125542938709259,10.547135015328726,10.751169431209565,11.138476880391439,11.408593368530273,11.63163233200709,12.151506698131561,12.607500485579173,12.814489221572876,13.09390747944514,13.510072453816731,13.930637117226919,14.34683655500412
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,733.0,509.0,586.0,493.0,989.0,756.0,335.0,582.0,920.0,502.0,672.0,641.0,419.0,244.0,319.0,596.0,604.0,365.0,375.0,267.0,817.0,555.0,266.0,523.0,361.0,279.0,700.0,618.0,263.0,367.0,557.0,555.0,553.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
