,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3257.0,3619.0,4618.0,5004.0,6003.0,6717.0,7174.0,7820.0,8268.0,8515.0,8776.0,9661.0,10097.0,10349.0,10691.0,11042.0,11570.0,11998.0,12519.0,13044.0,13671.0,14017.0,14181.0,14428.0,14693.0,15065.0,15442.0,16197.0,16535.0,16785.0,17146.0,17576.0,17926.0,18476.0,18816.0,19343.0,19793.0
Episode reward,0.0,-68.15221650890777,-68.7066440363426,-30.524361067113446,85.74260666227605,77.43586105571731,-62.77116464980231,76.46986639893989,-56.97335925297824,59.05218698655135,76.56575451883144,56.71365272162759,77.59720195126971,86.69799897381222,87.43254698320132,61.38806378357645,76.31168117960758,86.3070024476617,81.16491374112685,80.7695032370849,74.18615043888056,77.39646230666602,71.81910918128077,71.35819189312161,66.03090149901098,81.55855604440677,90.37019246682324,86.8620875720967,84.70304885946649,86.8295543905382,85.43007111714536,60.84554137071189,81.98799112674433,86.38936085803047,80.06514114173616,76.80621391059323,81.11476088122853,69.54494834211698,81.99010133447715,71.061062799193,75.38449820030011
Episode feedback,0.8,0.01102204407713222,0.00400801602804808,0.20541082143746411,0.050387596703924044,0.04986149570675486,0.01102204407713222,0.023376623315904874,0.01703406811920434,0.023842917217611618,0.013157894707987073,0.009302325566973139,0.00447427292063921,0.0,0.003846153831360947,0.003393665154532053,0.0,0.0,0.0,0.0,0.0037950664064609744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003787878773530762,0.0,0.0,0.0013262599451906367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,47.61373829841614,96.56752514839172,163.69667434692383,177.4015862941742,196.12685775756836,245.81413221359253,265.25501775741577,313.05520963668823,347.80462312698364,370.4569981098175,401.6626148223877,423.57113885879517,436.0996472835541,449.38221502304077,491.25390911102295,512.467690706253,525.1858313083649,541.9233725070953,559.3050787448883,584.9665184020996,606.0769472122192,631.1808495521545,656.817170381546,687.2700841426849,704.4432518482208,713.1906003952026,725.7347002029419,739.1992859840393,757.5580976009369,776.1671671867371,812.4114761352539,829.191573381424,841.8574087619781,859.7018573284149,880.7606854438782,898.0537621974945,924.6906833648682,941.491916179657,966.9656715393066,988.9099495410919
total minutes,0.0,0.7935623049736023,1.6094587524731954,2.728277905782064,2.9566931049029033,3.2687809626261393,4.096902203559876,4.420916962623596,5.217586827278137,5.796743718783061,6.174283301830291,6.694376913706462,7.059518980979919,7.268327454725902,7.489703583717346,8.187565151850382,8.541128178437551,8.753097188472747,9.03205620845159,9.321751312414806,9.749441973368327,10.101282453536987,10.519680825869242,10.946952839692434,11.454501402378082,11.740720864137014,11.886510006586711,12.095578336715699,12.319988099733989,12.625968293348949,12.936119453112285,13.540191268920898,13.819859556357066,14.030956812699635,14.328364288806915,14.679344757397969,14.967562703291575,15.41151138941447,15.691531936327616,16.11609452565511,16.481832492351533
cummulative feedback,0.0,11.0,15.0,220.0,233.0,251.0,262.0,271.0,288.0,305.0,311.0,317.0,319.0,319.0,320.0,323.0,323.0,323.0,323.0,323.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,326.0,326.0,326.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,258.0,361.0,998.0,385.0,998.0,713.0,456.0,645.0,447.0,246.0,260.0,884.0,435.0,251.0,341.0,350.0,527.0,427.0,520.0,524.0,626.0,345.0,163.0,246.0,264.0,371.0,376.0,754.0,337.0,249.0,360.0,429.0,349.0,549.0,339.0,526.0,449.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
