,0,1,2,3,4
Accumulated time steps,0.0,51.0,101.0,151.0,201.0
Episode reward,0.0,-2.6876377075083844,-3.7389680702675885,-4.598878838504455,-4.363515754827184
Episode feedback,0.8,0.14285713994169102,0.2653061170345691,0.20408162848813005,0.3061224427321951
total seconds,0.0,2.338216543197632,5.89466667175293,9.901328325271606,14.25515103340149
total minutes,0.0,0.03897027571996053,0.09824444452921549,0.1650221387545268,0.23758585055669149
cummulative feedback,0.0,7.0,20.0,30.0,45.0
Ph,0.8,0.9,0.9,0.9,0.9
steps_that_episode,0.0,49.0,49.0,49.0,49.0
e,0.001,0.001,0.001,0.001,0.001
buffer size,1010.0,1010.0,1010.0,1010.0,1010.0
human model,1.0,1.0,1.0,1.0,1.0
