,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Accumulated time steps,0.0,1000.0,1999.0,2662.0,2928.0,3276.0,3443.0,4442.0,5441.0,6238.0,7237.0,7594.0,8593.0,9287.0,10286.0,10882.0,11504.0,11938.0,12937.0,13364.0,13705.0,14046.0,14648.0,14993.0,15506.0,16120.0,16550.0,16978.0,17319.0,17771.0,18287.0,18628.0,19227.0
Episode reward,0.0,-61.580017219389596,-58.60013638874071,57.17375723959021,85.35876181418894,79.26107812813527,91.0009442189491,-66.28754176668738,-64.8403744541406,59.92713261084094,-63.76271652258486,75.37769739384748,-64.08386316640077,66.91400903611249,-61.30980847796901,67.09554642989501,68.77618593202557,80.33395611073647,-60.30712272811142,73.06140374434207,78.3108619120309,78.39326115229804,61.86264733274898,78.18168805944384,67.72212028905172,60.63617979822426,72.94717769640116,72.94039601895773,78.42656199455533,71.1777690340342,67.27847725465665,78.28457559995198,62.47499887300247
Episode feedback,0.8,0.01603206411219232,0.1703406811920434,0.16767371575880102,0.0981132071769313,0.057636887441968626,0.07831325254028161,0.00901803606310818,0.014028056098168281,0.03391959794733719,0.007014028049084141,0.005617977512309052,0.0050100200350601,0.011544011527353518,0.00100200400701202,0.0016806722660829038,0.0032206119110779197,0.0,0.00100200400701202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,47.58306884765625,115.53582262992859,158.19270420074463,172.59588146209717,190.39140152931213,199.13176584243774,247.49861431121826,295.20963501930237,335.15825033187866,383.21629333496094,401.02281975746155,450.3402841091156,484.90076661109924,533.1986088752747,561.6073362827301,592.3813772201538,614.3936913013458,663.4388880729675,685.1038017272949,702.6010775566101,720.2219786643982,750.4359939098358,768.033059835434,792.9840359687805,823.9691066741943,845.7417476177216,867.5763373374939,885.161940574646,908.1094908714294,934.3155524730682,952.0158517360687,982.6109788417816
total minutes,0.0,0.7930511474609375,1.9255970438321433,2.6365450700124105,2.876598024368286,3.1731900254885357,3.318862764040629,4.124976905186971,4.920160583655039,5.585970838864644,6.386938222249349,6.683713662624359,7.505671401818593,8.08167944351832,8.886643481254577,9.360122271378835,9.87302295366923,10.239894855022431,11.057314801216126,11.418396695454915,11.710017959276835,12.003699644406636,12.50726656516393,12.800550997257233,13.216400599479675,13.732818444569906,14.095695793628693,14.459605622291566,14.752699009577434,15.13515818119049,15.571925874551138,15.866930862267813,16.376849647363027
cummulative feedback,0.0,16.0,186.0,297.0,323.0,343.0,356.0,365.0,379.0,406.0,413.0,415.0,420.0,428.0,429.0,430.0,432.0,432.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,662.0,265.0,347.0,166.0,998.0,998.0,796.0,998.0,356.0,998.0,693.0,998.0,595.0,621.0,433.0,998.0,426.0,340.0,340.0,601.0,344.0,512.0,613.0,429.0,427.0,340.0,451.0,515.0,340.0,598.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
