,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Accumulated time steps,0.0,1000.0,1616.0,2615.0,3243.0,4242.0,4781.0,5780.0,6321.0,6777.0,7257.0,7803.0,8747.0,9682.0,10155.0,11065.0,11880.0,12610.0,13539.0,14147.0,14744.0,15394.0,16138.0,16507.0,17410.0,18394.0,18770.0,19313.0
Episode reward,0.0,-46.885839596050225,61.44765720469373,-60.231329711740585,66.02245420538902,-53.39312608443934,78.03964987986717,-19.6611463364679,68.79875919071169,74.88974204838341,73.05264496483558,64.8484313357546,50.18440648280653,50.54874359040976,70.24758671691026,41.86975198381137,48.16569716582564,54.4846208009401,52.381943995790806,76.00953679910211,76.1123306733193,66.94236011621172,61.9401204401345,76.9819551937144,44.6709092100902,39.00557568432793,76.23490273612038,67.03586774839457
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,45.6562614440918,74.73915505409241,120.87630248069763,150.3192949295044,196.43671798706055,221.79950070381165,267.95003294944763,294.2062020301819,315.7674434185028,338.65122175216675,364.26048159599304,408.2876863479614,451.9031357765198,474.28532004356384,516.8146109580994,555.0708875656128,589.4300167560577,632.96617603302,661.4322762489319,689.5898184776306,720.2143456935883,754.9988386631012,772.7782824039459,814.8765320777893,860.2620763778687,878.4829001426697,904.0267071723938
total minutes,0.0,0.7609376907348633,1.2456525842348734,2.0146050413449603,2.5053215821584067,3.2739452997843426,3.6966583450635273,4.465833882490794,4.903436700503032,5.2627907236417135,5.644187029202779,6.071008026599884,6.804794772466024,7.531718929608663,7.904755334059398,8.613576849301657,9.25118145942688,9.823833612600962,10.549436267217,11.023871270815532,11.493163641293844,12.003572428226471,12.583313977718353,12.879638040065766,13.581275534629821,14.337701272964477,14.641381669044495,15.067111786206564
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,615.0,998.0,627.0,998.0,538.0,998.0,540.0,455.0,479.0,545.0,943.0,934.0,472.0,909.0,814.0,729.0,928.0,607.0,596.0,649.0,743.0,368.0,902.0,983.0,375.0,542.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
