,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Accumulated time steps,0.0,529.0,839.0,1320.0,1623.0,1985.0,2280.0,2689.0,3688.0,4687.0,5686.0,6306.0,6752.0,7014.0,7392.0,7837.0,8659.0,8923.0,9197.0,9652.0,9924.0,10361.0,10893.0,11438.0,11721.0,11986.0,12712.0,12880.0,13146.0,13611.0,13882.0,14169.0,14437.0,14808.0,15096.0,15400.0,15573.0,15958.0,16540.0,17122.0,17396.0,17868.0,18154.0,18833.0,19133.0,19418.0,19607.0,19980.0
Episode reward,0.0,79.59709192674424,83.25644290130936,75.54994411882538,83.67393561279249,82.1932958433635,85.01574399258928,79.71351896815797,-53.188287401231484,-54.76189173297237,-61.5740980810653,65.67687612598317,77.79700967818069,87.27208766940049,82.0180308538165,78.51993527078542,58.76405301810746,86.49112150568163,84.86914342386214,75.81331102103243,84.76273795861769,75.59471946989689,69.34298450406587,72.12343235871907,84.6278003038666,87.70423475324043,62.86921945100226,89.8547044318353,84.63943790453547,71.93283578173714,84.11708707800463,82.1448381690869,84.0213627632673,82.7454244713298,85.98174954570523,81.90699165388176,90.93305883789309,80.6059288855522,72.40050979890741,72.83533498997289,86.1202222824894,79.27922223199513,84.34065156762549,68.58262470961046,84.84077006471132,84.10811105630792,89.59746907633642,82.40574774995204
Episode feedback,0.8,0.5066413652625401,0.17475728098784052,0.14374999970052083,0.10264900628261918,0.12188365617206744,0.15646258450182796,0.127450980079777,0.10220440871522604,0.04308617230151686,0.012024048084144241,0.038772213184536004,0.00898876402474435,0.02298850565904787,0.023872678981770083,0.018018017977436896,0.012180267951059358,0.007604562708727899,0.0036630036495860674,0.008810572667818121,0.0036900368867526317,0.0022935779763908763,0.0018832391678281748,0.003676470581477076,0.0,0.0,0.0013793103429250893,0.0,0.0,0.0,0.0,0.0,0.0037453183380325157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,35.6453320980072,52.88398313522339,78.78404211997986,94.72498416900635,114.01166009902954,130.33082246780396,152.421772480011,204.94441938400269,254.8415036201477,302.6947088241577,333.6792595386505,356.333607673645,370.0699362754822,389.63569712638855,412.4886198043823,453.60418915748596,467.3106577396393,481.7798008918762,505.07745385169983,519.463781118393,541.9855892658234,568.8773760795593,596.7422230243683,611.6896674633026,625.5967216491699,662.2933170795441,671.5116314888,684.8863489627838,707.8000762462616,721.7081868648529,736.3473041057587,750.4928846359253,769.6118686199188,784.779928445816,800.8297262191772,810.1961598396301,829.910519361496,858.5522301197052,886.6665058135986,901.0150985717773,924.5998561382294,939.0602607727051,972.6547617912292,987.8750755786896,1002.4298005104065,1012.4959194660187,1031.6978204250336
total minutes,0.0,0.5940888683001201,0.8813997189203898,1.313067368666331,1.5787497361501057,1.9001943349838257,2.1721803744633994,2.5403628746668496,3.4157403230667116,4.247358393669129,5.044911813735962,5.561320992310842,5.938893461227417,6.167832271258036,6.493928285439809,6.874810330073038,7.560069819291432,7.788510962327321,8.029663348197937,8.417957564194998,8.657729685306549,9.03309315443039,9.481289601325988,9.945703717072805,10.194827791055044,10.426612027486165,11.038221951325735,11.191860524813334,11.414772482713063,11.796667937437693,12.028469781080881,12.272455068429311,12.508214743932088,12.826864476998647,13.079665474096934,13.347162103652954,13.503269330660503,13.831841989358265,14.30920383532842,14.777775096893311,15.016918309529622,15.409997602303823,15.651004346211751,16.210912696520488,16.46458459297816,16.707163341840108,16.87493199110031,17.19496367375056
cummulative feedback,0.0,267.0,321.0,390.0,421.0,465.0,511.0,563.0,665.0,708.0,720.0,744.0,748.0,754.0,763.0,771.0,781.0,783.0,784.0,788.0,789.0,790.0,791.0,793.0,793.0,793.0,794.0,794.0,794.0,794.0,794.0,794.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,527.0,309.0,480.0,302.0,361.0,294.0,408.0,998.0,998.0,998.0,619.0,445.0,261.0,377.0,444.0,821.0,263.0,273.0,454.0,271.0,436.0,531.0,544.0,282.0,264.0,725.0,167.0,265.0,464.0,270.0,286.0,267.0,370.0,287.0,303.0,172.0,384.0,581.0,581.0,273.0,471.0,285.0,678.0,299.0,284.0,188.0,372.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
