,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Accumulated time steps,0.0,649.0,1018.0,1293.0,1745.0,2207.0,2820.0,3161.0,4160.0,5159.0,5912.0,6680.0,7679.0,8248.0,8682.0,9198.0,9652.0,10114.0,11113.0,11840.0
Episode reward,0.0,66.96721786514493,85.11319562526411,86.9782532962741,79.36076049143094,77.76385609364581,73.1334477283123,82.63739310296782,-46.5872104948398,-59.27374457191578,69.94422091843272,79.48196533576315,-31.438284294750623,81.46513650640318,83.58597359460548,82.02764047379222,87.76993759658265,84.53853333434567,-30.766011936764713,73.61870134376582
Episode feedback,0.8,0.3523956717891875,0.3804347815749055,0.2846715318077681,0.1884700661009533,0.22993492357931686,0.1405228755873809,0.09705882324394464,0.0751503005259015,0.06312625244175726,0.050531914826420325,0.05345501948702083,0.0400801602804808,0.01056338026309264,0.018475750534698035,0.021359223259496653,0.013245033083344298,0.006507592176773119,0.0060120240420721205,0.008264462798533798
total seconds,0.0,38.84997344017029,62.707144021987915,79.42246460914612,104.4222903251648,130.7235779762268,163.05175113677979,180.86688590049744,230.36444091796875,280.80780363082886,317.619589805603,354.3909673690796,401.31897735595703,428.16884207725525,449.2904303073883,474.08142352104187,495.8669366836548,517.9726135730743,564.7355453968048,599.1750535964966
total minutes,0.0,0.6474995573361715,1.0451190670331318,1.3237077434857687,1.7403715054194133,2.17872629960378,2.7175291856129964,3.014448098341624,3.8394073486328124,4.6801300605138145,5.293659830093384,5.906516122817993,6.688649622599284,7.136147367954254,7.488173838456472,7.901357058684031,8.26444894472758,8.632876892884573,9.412259089946748,9.986250893274944
cummulative feedback,0.0,228.0,368.0,446.0,531.0,637.0,723.0,756.0,831.0,894.0,932.0,973.0,1013.0,1019.0,1027.0,1038.0,1044.0,1047.0,1053.0,1059.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,647.0,368.0,274.0,451.0,461.0,612.0,340.0,998.0,998.0,752.0,767.0,998.0,568.0,433.0,515.0,453.0,461.0,998.0,726.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
