,0,1,2,3,4,5,6,7,8,9,10,11,12
Accumulated time steps,0.0,634.0,1633.0,2632.0,3631.0,4630.0,5629.0,6628.0,7627.0,8626.0,9625.0,10624.0,11623.0
Episode reward,0.0,68.6907855236962,-44.31195171214457,-41.105013995478686,-45.81409145031771,-45.52533411503353,-44.448347211124634,-42.005603086316945,-40.825696536468726,-43.12828552076354,-42.6591679113153,-41.85570277234193,-41.083047043031925
Episode feedback,0.8,0.4873417713807883,0.29158316604049783,0.27354709391428145,0.13627254495363472,0.10020040070120201,0.07915831655394959,0.04909819634358898,0.04609218432255292,0.026052104182312522,0.0060120240420721205,0.00801603205609616,0.0030060120210360602
total seconds,0.0,41.18283224105835,100.41859650611877,158.4632647037506,211.08485674858093,262.0871539115906,311.92018580436707,361.65156412124634,411.2738456726074,459.7429356575012,507.4653675556183,555.3351957798004,602.962486743927
total minutes,0.0,0.6863805373509725,1.6736432751019796,2.641054411729177,3.518080945809682,4.3681192318598425,5.198669763406118,6.027526068687439,6.854564094543457,7.662382260958354,8.457756125926972,9.255586596330007,10.04937477906545
cummulative feedback,0.0,308.0,599.0,872.0,1008.0,1108.0,1187.0,1236.0,1282.0,1308.0,1314.0,1322.0,1325.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,632.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
