,0,1,2,3,4,5,6,7,8,9,10,11,12
Accumulated time steps,0.0,1000.0,1554.0,2553.0,3552.0,4551.0,5550.0,6549.0,7548.0,8547.0,9546.0,10545.0,11544.0
Episode reward,0.0,-46.91216560019996,73.97104107716044,-43.80531703505773,-42.87146999759095,-43.601235522886924,-43.839308879386294,-42.16909980506733,-43.47081535549364,-43.52641523704134,-42.530782301521114,-41.79379251028712,-39.560692028088035
Episode feedback,0.8,0.47294589130967346,0.2513562382434788,0.2154308615075843,0.13727454896064675,0.11322645279235827,0.04909819634358898,0.03406813623840868,0.0300601202103606,0.01603206411219232,0.00801603205609616,0.0060120240420721205,0.0060120240420721205
total seconds,0.0,63.870723247528076,96.08779954910278,152.59786796569824,203.81841254234314,256.04215121269226,305.77432346343994,355.11795568466187,404.15281915664673,452.74481296539307,501.0828433036804,549.4806590080261,597.7793469429016
total minutes,0.0,1.064512054125468,1.6014633258183797,2.543297799428304,3.3969735423723857,4.267369186878204,5.096238724390665,5.9186325947443645,6.735880319277445,7.545746882756551,8.351380721728008,9.158010983467102,9.962989115715027
cummulative feedback,0.0,472.0,611.0,826.0,963.0,1076.0,1125.0,1159.0,1189.0,1205.0,1213.0,1219.0,1225.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,553.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
