,0,1,2,3,4,5,6,7,8,9,10,11,12
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8992.0,9991.0,10990.0,11989.0
Episode reward,0.0,-43.56508050627667,-42.90995129431089,-37.755285562113585,-41.033590423054925,-38.88968347705758,-39.006219102773464,-40.26025487978302,-38.19873581316117,-40.69162173795339,-38.08673876925304,-38.3060691240361,-37.97431387863058
Episode feedback,0.8,0.44789579113437294,0.2645290578511733,0.2294589176057526,0.12324649286247846,0.0951903806661419,0.06713426846980534,0.04208416829450484,0.02104208414725242,0.012024048084144241,0.007014028049084141,0.00901803606310818,0.0030060120210360602
total seconds,0.0,62.643330574035645,120.18973731994629,176.49536037445068,229.05554008483887,280.4978723526001,331.0081322193146,380.56627321243286,429.33081007003784,477.72204518318176,525.9397888183594,574.2233276367188,622.2414879798889
total minutes,0.0,1.0440555095672608,2.0031622886657714,2.941589339574178,3.8175923347473146,4.674964539210001,5.516802203655243,6.342771220207214,7.155513501167297,7.962034086386363,8.765663146972656,9.570388793945312,10.370691466331483
cummulative feedback,0.0,447.0,711.0,940.0,1063.0,1158.0,1225.0,1267.0,1288.0,1300.0,1307.0,1316.0,1319.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
