,0,1,2,3,4,5,6,7,8,9,10,11,12
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8992.0,9991.0,10990.0,11989.0
Episode reward,0.0,-63.73736991456672,-64.4260555460705,-34.49061573305279,-31.491925008936295,-27.00313261894381,-23.384979106540076,-21.678444329145066,-21.474697675553667,-20.83754182117868,-20.66336562140553,-21.007291703841748,-20.159705229103455
Episode feedback,0.8,0.012024048084144241,0.00200400801402404,0.21442885750057228,0.16633266516399534,0.10420841672925009,0.04709418832956494,0.04208416829450484,0.02304609216127646,0.01603206411219232,0.00901803606310818,0.00400801602804808,0.00901803606310818
total seconds,0.0,44.28569555282593,89.16622829437256,144.5589485168457,199.45573449134827,249.80851125717163,297.68341541290283,346.3196883201599,394.02881503105164,441.1934597492218,486.99247550964355,534.9471709728241,582.147650718689
total minutes,0.0,0.7380949258804321,1.4861038049062094,2.409315808614095,3.324262241522471,4.163475187619527,4.961390256881714,5.771994805335998,6.567146917184194,7.353224329153696,8.11654125849406,8.915786182880401,9.702460845311483
cummulative feedback,0.0,12.0,14.0,228.0,394.0,498.0,545.0,587.0,610.0,626.0,635.0,639.0,648.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
