,0,1,2,3,4,5,6,7,8,9,10,11,12
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8992.0,9991.0,10990.0,11989.0
Episode reward,0.0,-54.69908707891992,-49.5898372420711,-45.19377226616997,-40.27788436768724,-36.214584935703314,-36.59055813925559,-36.46813023709553,-35.790557592548964,-36.41082450735993,-37.269677679467016,-35.8278088761302,-36.19232383762139
Episode feedback,0.8,0.38276553067859165,0.24348697370392086,0.18136272526917563,0.14228456899570685,0.11422845679937028,0.06813627247681736,0.04408817630852888,0.033066132231396664,0.028056112196336563,0.007014028049084141,0.0060120240420721205,0.00400801602804808
total seconds,0.0,63.56449580192566,119.88790225982666,173.61633920669556,227.08598113059998,278.76876425743103,328.44597339630127,376.34254264831543,423.15472435951233,469.87771487236023,515.5666694641113,561.1696515083313,606.7406630516052
total minutes,0.0,1.0594082633654276,1.9981317043304443,2.893605653444926,3.7847663521766663,4.646146070957184,5.4740995566050215,6.272375710805258,7.052578739325205,7.831295247872671,8.592777824401855,9.352827525138855,10.11234438419342
cummulative feedback,0.0,382.0,625.0,806.0,948.0,1062.0,1130.0,1174.0,1207.0,1235.0,1242.0,1248.0,1252.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
