,0,1,2,3,4,5,6,7,8,9,10,11,12
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8992.0,9991.0,10990.0,11989.0
Episode reward,0.0,-42.50362151792988,-41.54485970019123,-42.22327605292883,-37.183455272019245,-42.983302430999096,-39.5827891647886,-40.97087849704937,-39.18180172967513,-41.465557002134744,-40.51243886265033,-38.95357637655668,-38.97260495945434
Episode feedback,0.8,0.5220440876532625,0.34368737440512287,0.2104208414725242,0.1603206411219232,0.0951903806661419,0.05711422839968514,0.035070140245420704,0.02204408815426444,0.01603206411219232,0.012024048084144241,0.0050100200350601,0.007014028049084141
total seconds,0.0,67.77749586105347,129.05733513832092,184.7687966823578,238.28363490104675,290.17017912864685,339.56052827835083,389.081346988678,438.2709171772003,484.9280436038971,532.5403819084167,578.7874548435211,624.4609558582306
total minutes,0.0,1.1296249310175577,2.150955585638682,3.0794799447059633,3.9713939150174458,4.836169652144114,5.659342137972514,6.484689116477966,7.304515286286672,8.082134060064952,8.875673031806945,9.646457580725352,10.407682597637177
cummulative feedback,0.0,521.0,864.0,1074.0,1234.0,1329.0,1386.0,1421.0,1443.0,1459.0,1471.0,1476.0,1483.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
