,0,1,2,3,4,5,6,7,8,9,10,11,12
Accumulated time steps,0.0,969.0,1796.0,2795.0,3794.0,4598.0,5597.0,6596.0,7595.0,8594.0,9593.0,10592.0,11591.0
Episode reward,0.0,58.51926502559525,66.88923494841723,-39.26873371877467,-33.95734264594822,77.12875343673733,-20.067643832221798,-16.89290087917718,-16.75226889688599,-17.937486253252246,-16.605755332891547,-16.64338992623201,-16.207411883297453
Episode feedback,0.8,0.4963805579148081,0.32687651292145703,0.2645290578511733,0.14829659303777898,0.10709838093761098,0.06813627247681736,0.05310621237163706,0.033066132231396664,0.02104208414725242,0.0150300601051803,0.007014028049084141,0.0060120240420721205
total seconds,0.0,65.04686498641968,114.48035311698914,171.6707832813263,224.2451479434967,266.94113874435425,316.37075567245483,363.7965130805969,410.9559955596924,458.2133376598358,505.61109709739685,552.0942494869232,599.1428124904633
total minutes,0.0,1.084114416440328,1.9080058852831523,2.8611797213554384,3.737419132391612,4.449018979072571,5.272845927874247,6.063275218009949,6.8492665926615395,7.636888960997264,8.426851618289948,9.201570824782054,9.985713541507721
cummulative feedback,0.0,480.0,750.0,1014.0,1162.0,1248.0,1316.0,1369.0,1402.0,1423.0,1438.0,1445.0,1451.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,967.0,826.0,998.0,998.0,803.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
