,0,1,2,3,4,5,6,7,8,9,10,11,12
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3448.0,4447.0,5446.0,6445.0,7444.0,8443.0,9442.0,10441.0,11440.0
Episode reward,0.0,-46.32680576614532,-43.03551437289346,-29.857799304171728,84.58186411614865,-27.96576048363695,-28.774258757390662,-27.396892382106554,-28.13584658308891,-26.251248992585673,-25.679269259772408,-26.719122370324605,-26.766341209998615
Episode feedback,0.8,0.3897795587276758,0.3236472942648825,0.18737474931124776,0.14476614667089946,0.1302605209115626,0.05911823641370918,0.050100200350601004,0.03607214425243272,0.0150300601051803,0.0150300601051803,0.014028056098168281,0.0060120240420721205
total seconds,0.0,60.45446538925171,120.7862548828125,174.64279341697693,198.72568559646606,250.03744840621948,298.28024673461914,346.9196891784668,395.35229301452637,441.0660288333893,487.8878855705261,534.8339076042175,580.981929063797
total minutes,0.0,1.0075744231541952,2.013104248046875,2.9107132236162823,3.3120947599411013,4.167290806770325,4.971337445576986,5.781994819641113,6.589204883575439,7.351100480556488,8.131464759508768,8.913898460070293,9.683032151063284
cummulative feedback,0.0,389.0,712.0,899.0,964.0,1094.0,1153.0,1203.0,1239.0,1254.0,1269.0,1283.0,1289.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,449.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
