,0,1,2,3,4,5,6,7,8,9,10,11,12
Accumulated time steps,0.0,1000.0,1999.0,2517.0,3516.0,4515.0,5514.0,6513.0,7512.0,8511.0,9510.0,10509.0,11508.0
Episode reward,0.0,-40.162642122288894,-36.67924457942397,82.516368056196,-27.347876053322093,-25.08723306941169,-22.5169893148902,-21.792398138562504,-23.04524695740042,-23.04170126126378,-22.384798218075158,-23.147595932901915,-22.91440109640339
Episode feedback,0.8,0.43887775507126475,0.3206412822438464,0.2591876203884185,0.2394789576758728,0.11422845679937028,0.056112224392673125,0.0601202404207212,0.027054108189324542,0.0150300601051803,0.00801603205609616,0.0050100200350601,0.0060120240420721205
total seconds,0.0,64.26602268218994,125.24908375740051,156.44814157485962,212.68589615821838,263.2002465724945,311.8165454864502,359.91471695899963,406.80825304985046,453.29818081855774,500.94295477867126,547.2045013904572,593.0173337459564
total minutes,0.0,1.071100378036499,2.0874847292900087,2.6074690262476605,3.5447649359703064,4.386670776208242,5.19694242477417,5.998578615983328,6.780137550830841,7.554969680309296,8.349049246311187,9.120075023174286,9.883622229099274
cummulative feedback,0.0,438.0,758.0,892.0,1131.0,1245.0,1301.0,1361.0,1388.0,1403.0,1411.0,1416.0,1422.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,517.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
